Correct_Korean,Correct_Japanese,Correct_English,Choice1_Korean,Choice1_Japanese,Choice1_English,Choice2_Korean,Choice2_Japanese,Choice2_English,Choice3_Korean,Choice3_Japanese,Choice3_English,Choice4_Korean,Choice4_Japanese,Choice4_English,Choice5_Korean,Choice5_Japanese,Choice5_English,Choice6_Korean,Choice6_Japanese,Choice6_English,Choice7_Korean,Choice7_Japanese,Choice7_English,Choice8_Korean,Choice8_Japanese,Choice8_English,Example_Sentence,Example_Sentence_Meaning,Example_Sentence_Meaning_English,Correct_Hiragana
화나다,怒る,Get Angry,출근하다,出勤する,Go to Work,뜨다,(目を)開く,Open (eyes),춥다,寒い,Cold,착하다,やさしい,Kind,두껍다,厚い,Thick,잃다,失う,Lose,넓다,広い,Wide,좁다,狭い,Narrow,그녀는 화났어요.,彼女は怒っています。,She is angry.,おこる
걱정하다,心配する,Worry,지내다,過ごす,Live/Spend Time,주무시다,お休みになる,Go to bed (honorific),눈치채다,気付く,notice,담그다,漬ける,Soak,맞아요,その通りです,That's Right (informal),존경하다,尊敬する,respect,실례하다,失礼する,Excuse Oneself,잃다,失う,Lose,내일 시험이 걱정돼요。,明日の試験が心配です。,I'm worried about tomorrow's exam.,しんぱいする
깨끗하다,清潔だ、きれいだ,Clean,수술하다,手術する,Operate,자르다,切る,Cut,겁나다,怖がる,be scared,다니다,通う,Attend,일어서다,立ち上がる,Stand Up,좋다,良い,Good,건너가다,渡って行く,Cross Over,말하다,話す、しゃべる,Talk/Speak,방이 깨끗해졌어요。,部屋がきれいになりました。,The room became clean.,きれいだ
맞아요,その通りです,That's Right (informal),벗다,脱ぐ,Take Off,감사드립니다,ありがとうございます,Thank you very much,나누다,分ける,Divide/Share,글쎄요,そうですね、どうでしょうね,Well...,잊다,忘れる,Forget,닫히다,閉まる,Be Closed,피우다,咲かせる,Bloom,자다,寝る,Sleep,"네,  맞아요.",はい、その通りです。,"Yes,  that's right.",そのとおりです
세일하다,セールする,Have a Sale,바르다,塗る、つける,Apply/Put On,통하다,通じる,Communicate,먹다,食べる,Eat,조사하다,調査する,Investigate,젊다,若い,Young,놀다,遊ぶ,Play,나쁘다,悪い,Bad,취소하다,取り消す,Cancel,백화점에서 세일 중이에요.,デパートでセール中です。,The department store is having a sale.,せーるする
시키다,注文する,Order,막히다,詰まる、つかえる,Block/Clog,질문하다,質問する,Ask a Question,오래간만입니다,お久しぶりです,Long Time No See (formal),어울리다,似合う,Match,달리다,走る,Run,그렇다,そうだ,That's right,도착하다,到着する、着く,Arrive,닮다,似る,Resemble,음식을 시켰어요.,食べ物を注文しました。,I ordered food.,ちゅうもんする
외출하다,外出する,Go Out,보다,見る、より,See,드시다,召し上がる,Eat/Drink (honorific),죄송하다,申し訳ない,Sorry,올라오다,上って来る,Come Up,바르다,塗る、つける,Apply/Put On,끊다,切る,hang up/quit,막히다,詰まる、つかえる,Block/Clog,빼다,のける、引く、抜く,Take Out,그는 외출했어요.,彼は外出しました。,He went out.,がいしゅつする
흐리다,曇る,Cloudy,읽다,読む,Read,바르다,塗る、つける,Apply/Put On,계산하다,計算する,Calculate,생각하다,考える,Think,질문하다,質問する,Ask a Question,서다,立つ,Stand,데리다,連れる,Bring,누르다,押す,Press,하늘이 흐려요.,空が曇っています。,The sky is cloudy.,くもる
자르다,切る,Cut,좁다,狭い,Narrow,출발하다,出発する,Depart,준비하다,準備する,Prepare,사인하다,サインする,Sign,걱정하다,心配する,Worry,나빠지다,悪くなる,Worsen,구하다,求める、手に入れる,Seek,알리다,知らせる,Inform,종이를 잘랐어요.,紙を切りました。,I cut the paper.,きる
매다,結ぶ、締める,Tie/Buckle,늦다,(時間的に)遅い、遅れる,Late,얘기하다,話す,Talk,불편하다,不便だ,Uncomfortable,잘생기다,ハンサムだ,Handsome,느리다,(速度が)遅い,Slow,기르다,育てる、養う,Raise/Cultivate,궁금하다,気になる,curious,만족하다,満足する,satisfied,신발끈을 매세요.,靴ひもを結んでください。,Please tie your shoelaces.,むすぶ、しめる
