Correct_Korean,Correct_Japanese,Correct_English,Choice1_Korean,Choice1_Japanese,Choice1_English,Choice2_Korean,Choice2_Japanese,Choice2_English,Choice3_Korean,Choice3_Japanese,Choice3_English,Choice4_Korean,Choice4_Japanese,Choice4_English,Choice5_Korean,Choice5_Japanese,Choice5_English,Choice6_Korean,Choice6_Japanese,Choice6_English,Choice7_Korean,Choice7_Japanese,Choice7_English,Choice8_Korean,Choice8_Japanese,Choice8_English,Example_Sentence,Example_Sentence_Meaning,Example_Sentence_Meaning_English,Correct_Hiragana
일본사람,日本人,Japanese Person,또는,または,or,항구,港,port,춤,踊り,dance,설문,設問,survey/questionnaire,배터리,バッテリー,battery,자장면,ジャージャー麺,Black Bean Noodles,라면,ラーメン,Ramen,진실,真実,truth,일본사람 친구가 있어요.,日本人の友達がいます。,I have a Japanese friend.,にほんじん
우체국,郵便局,post office,여러분,皆様,Everyone,계좌,口座,account,햇빛,日光,Sunlight,금주,禁酒,No Alcohol,요즘,この頃,Nowadays,인기,人気,Popularity,수업,授業,Class,물론,もちろん,of course,우체국에 편지를 부쳤어요.,郵便局に手紙を出しました。,I mailed a letter at the post office.,ゆうびんきょく
외삼촌,おじ（母方）,Uncle (maternal),상관,関係,Relation,가격,価格,Price,여러,多くの,Many,배낭,リュックサック,backpack,송이,(花などの)房,Bunch,신발,靴,shoes,평화,平和,peace,사장,社長,President,외삼촌 집에 갔어요.,おじの家に行きました。,I went to my uncle's house.,おじ
돈,お金,Money,공항,空港,Airport,입,口,mouth,계절,季節,Season,영어회화,英会話,English Conversation,초대,招待,invitation,일기,日記,Diary,사전,辞書,Dictionary,크레이프,クレープ,crepe,돈이 부족해요.,お金が足りません。,I am short of money.,おかね
문구점,文具店,stationery store,이용,利用,Use,답장,返信、返事,Reply,사이즈,サイズ,Size,캐나다,カナダ,Canada,입,口,mouth,꿈,夢,Dream,근처,近所,Neighborhood,편,編,Volume,문구점에서 펜을 샀어요.,文具店でペンを買いました。,I bought a pen at the stationery store.,ぶんぐてん
발음,発音,Pronunciation,모든,すべての,all/every,해,陽,Sun,그곳,そこ,There,몹시,非常に,very/exceedingly,유리,ガラス,Glass,무용,舞踊、踊り、ダンス,Dance,해외,海外,Abroad,마음,心、気持ち,Heart/Feeling,한국어 발음이 어려워요.,韓国語の発音が難しいです。,Korean pronunciation is difficult.,はつおん
시설,施設,Facility,점심식사,昼食,Lunch Meal,어버이날,オボイナル (父母の日),Parents’ Day,공중전화,公衆電話,Public Telephone,행사,行事,event,소,牛,Cow,약간,若干,Somewhat,특별히,特別に,Specially,생선,魚,Fresh Fish,새로운 시설이 완공되었어요.,新しい施設が完成しました。,A new facility was completed.,しせつ
회의,会議,Meeting,여학생,女子学生,Female Student,만약(에),もし,if/suppose,강아지,子犬,Puppy,외할머니,祖母（母方）,Grandmother (maternal),모자,帽子,hat,그러면,それなら,then/in that case,감자탕,カムジャタン,Potato Soup,밀가루,小麦粉,Flour,회의가 시작됐어요.,会議が始まりました。,The meeting has started.,かいぎ
전기자동차,電気自動車,Electric Car,음료수,飲料水,Beverage,교과서,教科書,Textbook,와이셔츠,ワイシャツ,Shirt,동아리,愛好会、サークル,Club,도쿄,東京,Tokyo,스승의날,ススンエナル (先生の日),Teacher’s Day,인형,人形,Doll,미리,前もって、あらかじめ,In Advance,전기자동차를 구매했어요.,電気自動車を購入しました。,I bought an electric car.,でんきじどうしゃ
창문,窓,window,배우,俳優,Actor/Actress,냄비,鍋,Pot,씨,~氏,Mr./Ms.,비누,石鹸,Soap,다리,脚、足、橋,Leg/Foot/Bridge,점원,店員,Clerk,아까,さっき,A While Ago,비디오,ビデオ,Video,창문을 닫아주세요.,窓を閉めてください。,Please close the window.,まど
