Correct_Korean,Correct_Japanese,Correct_English,Choice1_Korean,Choice1_Japanese,Choice1_English,Choice2_Korean,Choice2_Japanese,Choice2_English,Choice3_Korean,Choice3_Japanese,Choice3_English,Choice4_Korean,Choice4_Japanese,Choice4_English,Choice5_Korean,Choice5_Japanese,Choice5_English,Choice6_Korean,Choice6_Japanese,Choice6_English,Choice7_Korean,Choice7_Japanese,Choice7_English,Choice8_Korean,Choice8_Japanese,Choice8_English,Example_Sentence,Example_Sentence_Meaning,Example_Sentence_Meaning_English,Correct_Hiragana
잠자다,寝る,Sleep,싫어하다,嫌う,Hate,내려가다,下がって行く、下がる、降りて行く,Go Down/Descend,차갑다,冷たい,Cold,오르다,上る,Climb,독서하다,読書する,Read,편하다,楽だ,Comfortable,불편하다,不便だ,Uncomfortable,모르다,知らない,Don't Know,조용히 잠자고 있어요.,静かに寝ています。,I am sleeping quietly.,ねる
시다,酸っぱい,Sour,전하다,伝える,Deliver,먹다,食べる,Eat,쓰다,書く,Write,되다,~になる,Become,구하다,求める、手に入れる,Seek,젊다,若い,Young,신다,履く,Put On Shoes,풀다,解く,Untie,레몬은 시다.,レモンは酸っぱいです。,Lemon is sour.,すっぱい
두껍다,厚い,Thick,질문하다,質問する,Ask a Question,배고프다,空腹だ,Hungry,웃기다,笑わせる,Make Someone Laugh,넓다,広い,Wide,나쁘다,悪い,Bad,열리다,開かれる,Be Opened,덥다,暑い,Hot,얇다,薄い,Thin,책이 너무 두꺼워요.,本がとても厚いです。,The book is very thick.,あつい
피우다,咲かせる,Bloom,느리다,(速度が)遅い,Slow,대답하다,返事する、答える,Answer,놀라다,驚く,Be Surprised,잃다,失う,Lose,뜨다,(目を)開く,Open (eyes),졸업하다,卒業する,Graduate,불타다,燃える,be on fire,일하다,働く,Work,장미를 피웠어요.,バラを咲かせました。,I made roses bloom.,さかせる
그렇다,そうだ,That's right,돕다,助ける、手伝う,Help,처음 뵙겠습니다,初めまして,Nice to meet you,끄다,消す、止める,Turn Off,만들다,作る,Make/Create,따르다,従う,Follow,가열하다,加熱する,heat up,똑같다,全く同じだ、そっくりだ,Same Exactly,감사드립니다,ありがとうございます,Thank you very much, 그렇다니 기뻐요.,そうだなんて嬉しいです。,I'm glad to hear that.,そうだ
지내다,過ごす,Live/Spend Time,신다,履く,Put On Shoes,따르다,従う,Follow,아니다,~でない,Not,결혼하다,結婚する,Marry,즐겁다,楽しい,Fun,잊어버리다,忘れてしまう,Completely Forget,정하다,定める,Decide,오르다,上る,Climb,잘 지내고 있어요.,元気に過ごしています。,I am doing well.,すごす
부드럽다,柔らかい,Soft,노래하다,歌う,Sing,차다,蹴る,Kick,풀다,解く,Untie,싱겁다,(味が)薄い,Plain,하얗다,白い,White,팔다,売る,Sell,요리하다,料理する,cook,출근하다,出勤する,Go to Work,이 쿠션은 부드러워요.,このクッションは柔らかいです。,This cushion is soft.,やわらかい
비싸다,高い,Expensive,올려놓다,乗せる,Place On Top,어떻다,どうだ,Be Like,질문하다,質問する,Ask a Question,안녕하요,こんにちは,Hello,환영하다,歓迎する,Welcome,시끄럽다,うるさい,Noisy,덮다,覆う、かぶせる,Cover,돌아오다,帰って来る,Return,그 신발은 너무 비싸요.,その靴はとても高いです。,Those shoes are very expensive.,たかい
끝내다,終える、済ませる,Finish,심하다,ひどい,Severe,마르다,乾く,Dry,간단하다,簡単だ,Simple,기뻐하다,嬉しがる,Be Happy,지다,負ける,Lose,걱정하다,心配する,Worry,나타나다,現れる,Appear,깨다,割る、壊す,Break,숙제를 끝냈어요。,宿題を終えました。,I finished my homework.,おえる
입다,着る,Wear,아니요,いいえ,No,일어나다,起きる,Wake Up,시키다,注文する,Order,부치다,送る、焼く,Send/Bake,교환하다,交換する,exchange,팔다,売る,Sell,쓰이다,使われる,Be Used,정하다,定める,Decide,옷을 입었어요.,服を着ました。,I wore clothes.,きる
