Correct_Korean,Correct_Japanese,Correct_English,Choice1_Korean,Choice1_Japanese,Choice1_English,Choice2_Korean,Choice2_Japanese,Choice2_English,Choice3_Korean,Choice3_Japanese,Choice3_English,Choice4_Korean,Choice4_Japanese,Choice4_English,Choice5_Korean,Choice5_Japanese,Choice5_English,Choice6_Korean,Choice6_Japanese,Choice6_English,Choice7_Korean,Choice7_Japanese,Choice7_English,Choice8_Korean,Choice8_Japanese,Choice8_English,Example_Sentence,Example_Sentence_Meaning,Example_Sentence_Meaning_English,Correct_Hiragana
이분,この方,This Person,소화제,消化剤,Digestive Medicine,현재,現在,present,서울,ソウル,Seoul,일상생활,日常生活,Daily Life,갈색,褐色、茶色,Brown,이야기,話,Story,따로,別に、別途,Separately,최고,最高,Best,이분이 우리 선생님이에요.,この方が私たちの先生です。,This is our teacher.,このかた
여권,パスポート,passport,설날,元旦,New Year's Day,연두색,黄緑色,yellowish green,대학원,大学院,Graduate School,조카,甥,Nephew,가을,秋,Autumn,미래,未来,Future,직접,直接,Directly,다리,脚、足、橋,Leg/Foot/Bridge,여권을 분실하면 대사관에 가야 해요.,パスポートを紛失したら大使館に行かなければなりません。,"If you lose your passport,  you must go to the embassy.",ぱすぽーと
교외,郊外,suburbs,철학,哲学,philosophy,염소,山羊,goat,피,血,Blood,정치,政治,politics,할인,割引,Discount,구름,雲,cloud,또는,または,or,달러,ドル,Dollar,교외로 이사했어요.,郊外に引っ越しました。,I moved to the suburbs.,こうがい
아직,まだ,Still,나들이,お出かけ,outing,말씀,お言葉,Word (honorific),년,～年,Year,귤,みかん,Mandarin Orange,여기,ここ,Here,아버지,父,Father,카메라,カメラ,camera,연휴,連休,Holiday,아직 준비가 안 됐어요.,まだ準備ができていません。,I am not ready yet.,まだ
미래,未来,Future,명,~名,Counter for People,주머니,ポケット,Pocket,영어회화,英会話,English Conversation,밑,下、底,Bottom/Under,티셔츠,Tシャツ,T-Shirt,사자,獅子,lion,디자인,デザイン,Design,가수,歌手,Singer,미래에 대해 생각해요.,未来について考えています。,I think about the future.,みらい
노트북,ノートパソコン,laptop,항구,港,port,쌀밥,ご飯,Cooked Rice,지난달,先月,Last Month,범죄,犯罪,crime,작년,昨年,Last Year,기타,その他,Other/Guitar,제과점,製菓店,confectionery store,언제,いつ,When,노트북을 샀어요.,ノートパソコンを買いました。,I bought a laptop.,のーとぱそこん
수영복,水着,Swimsuit,바로,すぐに、まさに,Immediately/Exactly,콧노래,鼻歌,Humming,감자,じゃがいも,Potato,희망,希望,hope,대한민국,大韓民国,Republic of Korea,일본,日本,Japan,작은,小さい,small,생선,魚,Fresh Fish,새 수영복을 샀어요.,新しい水着を買いました。,I bought a new swimsuit.,みずぎ
오리,あひる、鴨,Duck,소파,ソファー,Sofa,야채,野菜,Vegetable,변호사,弁護士,Lawyer,밥,ご飯、食事,Meal/Rice,적,的,Enemy/Target,장소,場所,Place,미술관,美術館,Art Museum,꽤,けっこう,quite/rather,오리가 물 위에 있어요.,アヒルが水の上にいます。,The duck is on the water.,あひる
부인,夫人,Wife,냄비,鍋,Pot,소,牛,Cow,선풍기,扇風機,Fan,유학,留学,Study Abroad,습관,習慣,Habit,자신,自身,Confidence,부탁,お願い,Request,온갖,あらゆる,all kinds of,부인이 친절하세요.,夫人が親切です。,Your wife is kind.,ふじん
지출,支出,expense,주위,周囲,Surroundings,월,月,Month,들,~たち、~ども,Plural Suffix,동생,弟/妹,younger sibling,교육,教育,education,동대문시장,東大門市場,East Daemun Market,거짓말,嘘,Lie,금색,金色,gold,이번 달 지출이 많아요.,今月の支出が多いです。,I have a lot of expenses this month.,ししゅつ
