Correct_Korean,Correct_Japanese,Correct_English,Choice1_Korean,Choice1_Japanese,Choice1_English,Choice2_Korean,Choice2_Japanese,Choice2_English,Choice3_Korean,Choice3_Japanese,Choice3_English,Choice4_Korean,Choice4_Japanese,Choice4_English,Choice5_Korean,Choice5_Japanese,Choice5_English,Choice6_Korean,Choice6_Japanese,Choice6_English,Choice7_Korean,Choice7_Japanese,Choice7_English,Choice8_Korean,Choice8_Japanese,Choice8_English,Example_Sentence,Example_Sentence_Meaning,Example_Sentence_Meaning_English,Correct_Hiragana
드디어,ついに,finally/at last,습관,習慣,Habit,사거리,四つ角,Crossroads,수저,箸とスプーン,Spoon and Chopsticks,외숙모,おば（母方）,Aunt (maternal),급,級,Level/Grade,계절,季節,Season,경주,慶州,Kyongju,마우스,マウス,mouse (PC),드디어 끝났어요.,ついに終わりました。,It’s finally over.,ついに
먼저,まず,First/Besides,반바지,半ズボン,Shorts,학년,学年,Grade,남색,藍色/濃紺,navy/navy blue,이번,今回,This Time,삼계탕,サムゲタン,Ginseng Chicken Soup,식사,食事,Meal,건배,乾杯,Cheers,수도,首都,Capital,먼저 시작해요.,まず始めましょう。,Let's start first.,まず、さきに
매일,毎日,Every Day,가지,種類,Type,강좌,講座,Course,주로,主に,Mainly,발음,発音,Pronunciation,같이,一緒に,Together,천둥,雷,thunder,자두,すもも,plum,지난주,先週,Last Week,매일 운동을 해요.,毎日運動をします。,I exercise every day.,まいにち
다음해,翌年,Next Year,시디,CD,CD,글,文章、文字,Writing/Text,나이,歳、年齢,Age,동네,町内、ご近所,Neighborhood,출장,出張,Business Trip,최고,最高,Best,만두,ぎょうざ,Dumpling,급,級,Level/Grade,다음해에 결혼할 거예요.,翌年に結婚します。,I will marry next year.,よくねん
공연,公演,Performance,사전,辞書,Dictionary,서양,西洋,The West,아래,下,Below,팀,チーム,team,스승의날,ススンエナル (先生の日),Teacher’s Day,배구,バレーボール,Volleyball,그쪽,そちら、その方,That Side/Person,서로,互いに,Each Other,그 밴드의 공연은 정말 좋았어요。,そのバンドの公演は本当に良かったです。,That band's performance was really good.,こうえん
병원,病院,hospital,인사,挨拶,Greeting,이사,引っ越し,Move,주머니,ポケット,Pocket,제주도,済州島,Jeju Island,낚시,釣り,Fishing,빵,パン,bread,어젯밤,昨夜,Last Night,때문,~のため/だから,Because of,병원에 갔어요.,病院に行きました。,I went to the hospital.,びょういん
칫솔,歯ブラシ,Toothbrush,보도,報道,Report,힘,力,Strength,감사,感謝,Gratitude,필름,フィルム,Film,새,新しい/鳥,New/Bird,장마,梅雨,Rainy Season,벽,壁,wall,뒤,後ろ、裏,Back,칫솔을 바꿨어요.,歯ブラシを交換しました。,I changed my toothbrush.,はぶらし
누구,誰,Who,아줌마,おばさん,Aunt (informal),전쟁,戦争,war,낮,昼、日中,Daytime,상관,関係,Relation,식당,食堂,restaurant,결과,結果,Result,여동생,妹,Younger Sister,시합,試合,match/game,너는 누구세요?,あなたは誰ですか？,Who are you?,だれ
부장,部長,Manager,햄버거,ハンバーガー,Hamburger,어른,大人,Adult,슈퍼마켓,スーパーマーケット,Supermarket,전화번호,電話番号,phone number,청록색,青緑色,teal/turquoise,피,血,Blood,대한민국,大韓民国,Republic of Korea,심장,心臓,heart,부장이 회의를 주재했어요.,部長が会議を主宰しました。,The manager presided over the meeting.,ぶちょう
홍차,紅茶,Black Tea,이렇게,こんなに,Like This,연,年,year,속초,ソクチョ,Sokcho,택시,タクシー,Taxi,냉방,冷房,air conditioning,스케이트,スケート,Skate,놀이공원,遊園地,amusement park,이곳,ここ,This Place,홍차를 마셨어요.,紅茶を飲みました。,I drank black tea.,こうちゃ
