Correct_Korean,Correct_Japanese,Correct_English,Choice1_Korean,Choice1_Japanese,Choice1_English,Choice2_Korean,Choice2_Japanese,Choice2_English,Choice3_Korean,Choice3_Japanese,Choice3_English,Choice4_Korean,Choice4_Japanese,Choice4_English,Choice5_Korean,Choice5_Japanese,Choice5_English,Choice6_Korean,Choice6_Japanese,Choice6_English,Choice7_Korean,Choice7_Japanese,Choice7_English,Choice8_Korean,Choice8_Japanese,Choice8_English,Example_Sentence,Example_Sentence_Meaning,Example_Sentence_Meaning_English,Correct_Hiragana
등,背、など,Back/Etc.,매일,毎日,Every Day,요리사,料理人,chef,표현,表現,Expression,전주,チョンジュ,Jeonju,횡단보도,横断歩道,Crosswalk,축제,祭り,Festival,낚시,釣り,Fishing,살,歳,Age,그는 등통증이 있어요.,彼は背中の痛みがあります。,He has back pain.,せなか、など
공무원,公務員,Public Servant,감기약,風邪薬,Cold Medicine,비디오,ビデオ,Video,캠핑,キャンプ,camping,콜라,コーラ,Cola,초록색,緑色,Green,먼저,まず,First/Besides,현재,現在,present,듣기,聞くこと、聞き取り,Listening,그는 공무원으로 일하고 있어요。,彼は公務員として働いています。,He works as a public servant.,こうむいん
휴가,休暇,Vacation,안부,安否,well-being,이쪽,こちら,This Side,헌,古い,old (worn out),주전자,やかん,Kettle,세탁기,洗濯機,washing machine,사진기,カメラ,Camera,순서,順序,Order,멕시코,メキシコ,Mexico,여름 휴가를 계획 중이에요.,夏の休暇を計画中です。,I am planning a summer vacation.,きゅうか
어디서,どこで,where (location),아시아,アジア,Asia,직원,職員,staff/employee,축제,祝祭,festival,영화,映画,movie,장마,梅雨,Rainy Season,탁자,テーブル,table,탁구,卓球,Table Tennis,서리,霜,frost,어디서 만날까요?,どこで会いましょうか。,Where shall we meet?,どこで
몇 개,いくつ,how many pieces,나이,歳、年齢,Age,며칠,何日,How Many Days,차라리,いっそ,rather/preferably,무지개,虹,rainbow,초콜릿,チョコレート,Chocolate,충전기,充電器,charger,위,胃,stomach,창문,窓,window,몇 개 필요해요?,いくつ必要ですか。,How many do you need?,いくつ
풀,草,Grass,무지개,虹,rainbow,부엌,台所,Kitchen,팀,チーム,team,설명,説明,Explanation,제목,題名,Title,대학,大学,University,미래,未来,Future,직접,直接,Directly,정원에 풀이 많아요.,庭に草が多いです。,There is a lot of grass in the garden.,くさ
복사기,複写機,photocopier,천둥,雷,thunder,영국,英国,England,장미,バラ,Rose,약,約~、薬,Approximately/Medicine,갈색,褐色、茶色,Brown,이집트,エジプト,Egypt,사자,獅子,lion,불,火,Fire,복사기로 복사했어요.,複写機でコピーしました。,I made a copy with the photocopier.,ふくしゃき
거북이,亀,Turtle,몸살,疲労からくる病気,Flu-like Illness,원,ウォン,Korean Won,자연,自然,Nature,빌딩,ビル,Building,산사태,山崩れ,landslide,상당히,かなり,quite/fairly,장소,場所,Place,씩,~ずつ,Each,우리 집에 작은 거북이가 있어요。,うちに小さな亀がいます。,We have a small turtle at home.,かめ
약사,薬剤師,Pharmacist,비행기표,航空券,plane ticket,호주,オーストラリア,Australia,사원,社員,Employee,회사원,会社員,office worker,철학,哲学,philosophy,따로,別に、別途,Separately,제일,いちばん,Best,공기,空気,Air,약사가 친절해요.,薬剤師が親切です。,The pharmacist is kind.,やくざいし
정보,情報,Information,두부찌개,豆腐チゲ,Tofu Stew,날,日,Day,자,定規,ruler,전망,展望,prospect/view,에어컨,エアコン,Air Conditioner,늑대,狼,wolf,초등학교,小学校,elementary school,행복,幸福,happiness,유익한 정보를 얻었어요.,有益な情報を得ました。,I got useful information.,じょうほう
