Correct_Korean,Correct_Japanese,Correct_English,Choice1_Korean,Choice1_Japanese,Choice1_English,Choice2_Korean,Choice2_Japanese,Choice2_English,Choice3_Korean,Choice3_Japanese,Choice3_English,Choice4_Korean,Choice4_Japanese,Choice4_English,Choice5_Korean,Choice5_Japanese,Choice5_English,Choice6_Korean,Choice6_Japanese,Choice6_English,Choice7_Korean,Choice7_Japanese,Choice7_English,Choice8_Korean,Choice8_Japanese,Choice8_English,Example_Sentence,Example_Sentence_Meaning,Example_Sentence_Meaning_English,Correct_Hiragana
얇다,薄い,Thin,듣다,聞く,Listen,계산하다,計算する,Calculate,초대하다,招待する,Invite,이렇다,こうだ,Be Like This,모으다,集める,Collect/Gather,대답하다,返事する、答える,Answer,친절하다,親切だ,Kind,소개하다,紹介する,Introduce,옷이 너무 얇아요.,服がとても薄いです。,The clothes are too thin.,うすい
오다,来る,Come,따뜻하다,暖かい,Warm,볶다,炒める,Fry,잊다,忘れる,Forget,눈치채다,気付く,notice,싸다,安い,Cheap,어렵다,難しい,Difficult,세일하다,セールする,Have a Sale,붙다,くっつく,Stick,친구가 집에 왔어요.,友達が家に来ました。,My friend came to my house.,くる
마르다,乾く,Dry,사다,買う,Buy,화장하다,化粧する,Put on Makeup,나타나다,現れる,Appear,안전하다,安全だ,Safe,붙이다,つける,Attach,일하다,働く,Work,친하다,親しい,Close,되다,~になる,Become,옷이 빨리 마르네요.,服が早く乾きます。,The clothes are drying quickly.,かわく
그리다,(絵を)描く,Draw,미안합니다,すみません,I'm Sorry (formal),건강하다,健康だ,Healthy,들어오다,入って来る、入る,Come In,요리하다,料理する,cook,싶다,~したい,Want To,주문하다,注文する,Order,켜다,つける,Turn On,빌리다,借りる,Borrow,그림을 그리는 것을 좋아해요。,絵を描くのが好きです。,I like drawing pictures.,えをかく
배고프다,空腹だ,Hungry,가져오다,持って来る,Bring,넓다,広い,Wide,피다,咲く,Bloom,궁금하다,気になる,curious,도와주다,助けてあげる、助ける,Help,푹,ぐっすり,Deeply,아니요,いいえ,No,대답하다,返事する、答える,Answer,배고파서 밥을 먹고 싶어요.,お腹が空いてご飯を食べたいです。,I am hungry and want to eat.,くうふくだ
떨어지다,落ちる,Fall,복잡하다,複雑だ、混雑している,Complex/Crowded,크다,大きい,Big,추다,踊る,Dance,젊다,若い,Young,교환하다,交換する,exchange,미안합니다,すみません,I'm Sorry (formal),계산하다,計算する,Calculate,짜다,組み立てる,Assemble,떨어지다를 조심하세요.,落ちるのを気をつけてください。,Be careful not to fall.,おちる
떠나다,発つ、去る,Leave,친하다,親しい,Close,끄다,消す、止める,Turn Off,청소하다,掃除する,Clean,부르다,人を呼ぶ、歌う,Call,고맙다,ありがたい,Grateful,존경하다,尊敬する,respect,오래간만입니다,お久しぶりです,Long Time No See (formal),고프다,空腹だ,Hungry,그는 일찍 떠났어요.,彼は早く出発しました。,He left early.,たつ、さる
정하다,定める,Decide,걸어가다,歩いて行く,Walk to,틀다,つける,Turn On,되다,~になる,Become,모으다,集める,Collect/Gather,드시다,召し上がる,Eat/Drink (honorific),가열하다,加熱する,heat up,모시다,お連れする、お仕えする,Escort/Serve (honorific),환영하다,歓迎する,Welcome,계획을 정했어요.,計画を決めました。,I decided on a plan.,さだめる
웃기다,笑わせる,Make Someone Laugh,어둡다,暗い,Dark,바쁘다,忙しい,Busy,추다,踊る,Dance,배우다,習う、教わる,Learn,축하합니다,おめでとうございます,Congratulations,주다,あげる,Give,옮기다,移す,Move,보다,見る、より,See,그는 이야기를 웃겼어요.,彼は話をして笑わせました。,He made us laugh with his story.,わらわせる
신다,履く,Put On Shoes,떠들다,騒ぐ,Make Noise,따라가다,ついて行く、従う,Follow,계시다,いらっしゃる,Be (honorific),담그다,漬ける,Soak,슬퍼하다,悲しむ,Grieve,아니요,いいえ,No,고치다,直す,Fix,청소하다,掃除する,Clean,운동화를 신었어요.,スニーカーを履きました。,I put on sneakers.,はく
