Correct_Korean,Correct_Japanese,Correct_English,Choice1_Korean,Choice1_Japanese,Choice1_English,Choice2_Korean,Choice2_Japanese,Choice2_English,Choice3_Korean,Choice3_Japanese,Choice3_English,Choice4_Korean,Choice4_Japanese,Choice4_English,Choice5_Korean,Choice5_Japanese,Choice5_English,Choice6_Korean,Choice6_Japanese,Choice6_English,Choice7_Korean,Choice7_Japanese,Choice7_English,Choice8_Korean,Choice8_Japanese,Choice8_English,Example_Sentence,Example_Sentence_Meaning,Example_Sentence_Meaning_English,Correct_Hiragana
직원,職員,staff/employee,악기 연주,楽器演奏,playing instruments,여보세요,もしもし,Hello (on phone),배우,俳優,Actor/Actress,음악,音楽,music,요리사,料理人,chef,여자,女性,Woman,벌써,もう,already,옛날,昔,Old Days,직원이 도와줬어요.,職員が手伝ってくれました。,The staff helped me.,しょくいん
닭,鶏,chicken,사업가,事業家,Businessperson,게다가,そのうえ,besides/furthermore,파,ねぎ,Green Onion,수도,首都,Capital,새,新しい/鳥,New/Bird,관계,関係,Relationship,가방,鞄,Bag,색깔,色,Color,닭이 알을 낳았어요.,鶏が卵を産みました。,The chicken laid an egg.,にわとり
도서관,図書館,library,운동,運動,Exercise,그래프,グラフ,graph,야구,野球,Baseball,멕시코,メキシコ,Mexico,주,週,Week,뜻,意味、こころざし,Meaning/Intention,냉면,冷麺,Cold Noodles,캐나다,カナダ,Canada,도서관에서 공부해요.,図書館で勉強します。,I study at the library.,としょかん
같이,一緒に,Together,삼계탕,サムゲタン,Ginseng Chicken Soup,엘리베이터,エレベーター,elevator,떡,餅,Mochi,누나,(弟から見て)姉,Older Sister (from younger brother's perspective),철학,哲学,philosophy,고기,肉,Meat,바다,海,sea,벽,壁,wall,친구와 같이 영화를 봤어요。,友達と一緒に映画を見ました。,I watched a movie with my friend.,いっしょに
여러,多くの,Many,달,月,moon,줄,列,Line,사람,人,Person,바이올린,バイオリン,Violin,그만,それくらいで、それで,That's Enough,설악산,雪岳山,Seoraksan,혼자,独り,Alone,쥐,ネズミ,mouse,여러 가지 색깔이 있어요.,多くの色があります。,There are many colors.,おおくの
건물,建物,Building,책방,本屋,Bookstore,우선,まず,First,다음해,翌年,Next Year,중학생,中学生,Middle School Student,자동차회사,自動車会社,Automobile Company,김포공항,金浦空港,Incheon Airport,축제,祝祭,festival,생명,生命,life,그 도시는 많은 건물이 있어요。,その都市には多くの建物があります。,That city has many buildings.,たてもの
자연,自然,Nature,얼굴,顔,face,영어회화,英会話,English Conversation,자주,たびたび,Often,금요일,金曜日,Friday,예술,芸術,art,볶음밥,チャーハン,Fried Rice,학생증,学生証,Student ID,기념품,お土産,souvenir,자연을 보호합시다.,自然を守りましょう。,Let's protect nature.,しぜん
것,もの、こと,Thing,외국어,外国語,Foreign Language,그들,彼ら,They,뜻,意味、こころざし,Meaning/Intention,기름,油、ガソリン,Oil/Fuel,이어폰,イヤホン,earphones,가끔,時々、たまに,Sometimes,캐나다,カナダ,Canada,어째서,どうして,why (formal),이것은 내 것이에요。,これは私のものです。,This is my thing.,もの
옛날,昔,Old Days,공무원,公務員,Public Servant,나들이,お出かけ,outing,불고기,プルコギ,Bulgogi,차라리,いっそ,rather/preferably,누구랑,誰と,with whom,테니스,テニス,Tennis,설날,元旦,New Year's Day,액세서리,アクセサリー,Accessory,옛날 이야기를 들었어요.,昔話を聞きました。,I heard an old story.,むかし
인,~人,Person,서쪽,西,West,하늘색,空色,sky blue,좀,ちょっと,A Little,어디서,どこで,where (location),기차,汽車,Train,달러,ドル,Dollar,얼굴,顔,face,급,級,Level/Grade,한국인은 친절해요.,韓国人は親切です。,Koreans are kind.,ひと
