Correct_Korean,Correct_Japanese,Correct_English,Choice1_Korean,Choice1_Japanese,Choice1_English,Choice2_Korean,Choice2_Japanese,Choice2_English,Choice3_Korean,Choice3_Japanese,Choice3_English,Choice4_Korean,Choice4_Japanese,Choice4_English,Choice5_Korean,Choice5_Japanese,Choice5_English,Choice6_Korean,Choice6_Japanese,Choice6_English,Choice7_Korean,Choice7_Japanese,Choice7_English,Choice8_Korean,Choice8_Japanese,Choice8_English,Example_Sentence,Example_Sentence_Meaning,Example_Sentence_Meaning_English,Correct_Hiragana
결혼식,結婚式,Wedding,경제,経済,economy,삼일절,サミルチョル (3.1節),March 1st Movement Day,여보세요,もしもし,Hello (on phone),태국,タイ,Thailand,먼저,まず,First/Besides,종류,種類,Kind,선배,先輩,Senior,질문,質問,Question,결혼식에 초대받았어요。,結婚式に招待されました。,I was invited to a wedding.,けっこんしき
매,毎,every,스웨터,セーター,Sweater,오징어,いか,Squid,음악가,音楽家,Musician,도대체,いったい (疑問を強調),on earth,디자인,デザイン,Design,낚시,釣り,Fishing,옷장,洋服ダンス,wardrobe,가게,お店,shop,매일 운동해요.,毎日運動しています。,I exercise every day.,まい
녹차,緑茶,Green Tea,젓가락,箸,Chopsticks,간신히,かろうじて,barely,원,ウォン,Korean Won,얼마동안,どのくらいの間,for how long,배구,バレーボール,Volleyball,복숭아,桃,peach,살구색,肌色/apricot color,peach/apricot,일요일,日曜日,Sunday,아침에 녹차를 마셨어요。,朝に緑茶を飲みました。,I drank green tea in the morning.,りょくちゃ
자유,自由,freedom,남,男,Man,계산서,勘定書,bill/check,부엌,台所,Kitchen,모레,あさって,Day After Tomorrow,전화기,電話機,Telephone,안,~しない、中,Inside/Not,유학생,留学生,Foreign Student,논문,論文,thesis/paper,자유를 존중합시다.,自由を尊重しましょう。,Let's respect freedom.,じゆう
결혼,結婚,marriage,동네,町内、ご近所,Neighborhood,녹차,緑茶,Green Tea,김치찌개,キムチ鍋,Kimchi Stew,요금,料金,Fare,황사,黄砂,yellow dust,목적,目的,Purpose,엘리베이터,エレベーター,elevator,생신,誕生日（目上の人の）,Birthday,결혼을 축하합니다.,結婚おめでとうございます。,Congratulations on your marriage.,けっこん
아기,赤ちゃん,Baby,목적,目的,Purpose,주스,ジュース,juice,그만,つい,by accident (unintentionally),번호,番号,Number,한국사람,韓国人,Korean Person,커피,コーヒー,Coffee,고속버스,高速バス,Express Bus,시합,試合,match/game,아기가 귀여워요.,赤ちゃんが可愛いです。,The baby is cute.,あかちゃん
인사,挨拶,Greeting,저런,あんな,that (over there) kind of,야구,野球,Baseball,달력,カレンダー,calendar,창문,窓,window,중식,中国料理,Chinese Cuisine,과,課,Subject,이번,今回,This Time,수원,スウォン,Suwon,모두에게 인사를 했어요.,みんなに挨拶をしました。,I greeted everyone.,あいさつ
희망,希望,hope,환율,換率,exchange rate,사건,事件,incident,빨리,早く,quickly/fast,영화관,映画館,Cinema,당신,あなた,You,심하게,ひどく,severely,수건,タオル,Towel,수저,箸とスプーン,Spoon and Chopsticks,희망을 잃지 마세요.,希望を捨てないでください。,Don't lose hope.,きぼう
특히,特に,especially,서비스,サービス,Service,비빔밥,ビビンバ,Bibimbap,미래,未来,Future,인사,挨拶,Greeting,그렇지만,そうだけど,however,공책,ノート,Notebook,하루,1日,One Day,건배,乾杯,Cheers,저는 특히 커피를 좋아해요.,私は特にコーヒーが好きです。,I especially like coffee.,とくに
자전거,自転車,bicycle,대전,テジョン,Daejeon,열차,列車,Train,노래,歌,Song,해외여행,海外旅行,Overseas Travel,벌써,もう,already,천장,天井,ceiling,섬,島,Island,기름,油、ガソリン,Oil/Fuel,자전거를 탔어요.,自転車に乗りました。,I rode a bicycle.,じてんしゃ
