Correct_Korean,Correct_Japanese,Correct_English,Choice1_Korean,Choice1_Japanese,Choice1_English,Choice2_Korean,Choice2_Japanese,Choice2_English,Choice3_Korean,Choice3_Japanese,Choice3_English,Choice4_Korean,Choice4_Japanese,Choice4_English,Choice5_Korean,Choice5_Japanese,Choice5_English,Choice6_Korean,Choice6_Japanese,Choice6_English,Choice7_Korean,Choice7_Japanese,Choice7_English,Choice8_Korean,Choice8_Japanese,Choice8_English,Example_Sentence,Example_Sentence_Meaning,Example_Sentence_Meaning_English,Correct_Hiragana
펴다,広げる,Spread,선호하다,好む,prefer,시작하다,始める,Start,맞다,合う、合っている、正しい,Fit/Be Correct/Be Right,생각되다,考えられる,Be Considered,촬영하다,撮影する,Film,가열하다,加熱する,heat up,알맞다,ふさわしい,Suitable,기르다,育てる、養う,Raise/Cultivate,책을 펴세요.,本を広げてください。,Please open the book.,ひろげる
사랑하다,愛する,Love,데리다,連れる,Bring,만들다,作る,Make/Create,운전하다,運転する,Drive,깨다,割る、壊す,Break,정하다,定める,Decide,펴다,広げる,Spread,뜨다,(目を)開く,Open (eyes),따라오다,ついて来る,Follow Coming,가족을 사랑해요.,家族を愛しています。,I love my family.,あいする
돕다,助ける、手伝う,Help,인사하다,挨拶する,Greet,시작하다,始める,Start,맛있다,おいしい,Delicious,좁다,狭い,Narrow,바쁘다,忙しい,Busy,축하합니다,おめでとうございます,Congratulations,돌아오다,帰って来る,Return,중요하다,重要だ,Important,그는 저를 도와줬어요.,彼は私を助けてくれました。,He helped me.,たすける、てつだう
즐거워하다,楽しがる,Enjoy,높다,高い,High/Tall,밀리다,滞る,Be Delayed/Be Stopped,출근하다,出勤する,Go to Work,어둡다,暗い,Dark,기다리다,待つ,Wait,샤워하다,シャワーする,Take a Shower,사다,買う,Buy,겁나다,怖がる,be scared,그녀는 여행을 즐거워해요.,彼女は旅行を楽しんでいます。,She enjoys traveling.,たのしがる
청소하다,掃除する,Clean,얘기하다,話す,Talk,사랑하다,愛する,Love,독서하다,読書する,Read,나다,出る,Appear/Leave,붙이다,つける,Attach,가다,行く,Go,졸업하다,卒業する,Graduate,배부르다,お腹いっぱいだ、満腹だ,Full,방을 청소했어요.,部屋を掃除しました。,I cleaned the room.,そうじする
좋아하다,好む,Like,감추다,隠す,hide,목욕하다,入浴する,Bathe,맞습니다,そうです,That's Right (formal),마르다,乾く,Dry,노래하다,歌う,Sing,조심하다,注意する,Be Careful,찾아오다,訪ねて来る,Visit,가깝다,近い,Close,그는 음악을 좋아해요.,彼は音楽が好きです。,He likes music.,このむ
들다,持つ、入る,Hold/Enter,축하하다,祝う,Congratulate,잠자다,寝る,Sleep,치료하다,治療する,Treat,길다,長い,Long,찾아오다,訪ねて来る,Visit,아니요,いいえ,No,남기다,残す,Leave Behind,공부하다,勉強する,Study,가방을 들고 나갔어요.,鞄を持って出かけました。,I went out holding a bag.,もつ、はいり
두다,置く,Put,노래하다,歌う,Sing,아니요,いいえ,No,남기다,残す,Leave Behind,보내다,送る、過ごす,Send/Spend,퇴근하다,退社する,Leave Work,일어서다,立ち上がる,Stand Up,통하다,通じる,Communicate,맛있다,おいしい,Delicious,컵에 물을 두었어요.,カップに水を置きました。,I put water in the cup.,おく
밀리다,滞る,Be Delayed/Be Stopped,도와주다,助けてあげる、助ける,Help,멋지다,素敵だ,nice,배우다,習う、教わる,Learn,걸어가다,歩いて行く,Walk to,뜨다,(目を)開く,Open (eyes),닫다,閉める,Close,따르다,従う,Follow,수수하다,地味だ,plain/simple,교통이 밀려요.,交通が滞っています。,Traffic is congested.,とどこおる
존중하다,尊重する,respect (opinions),걸리다,かかる,Take Time/Get Stuck,누르다,押す,Press,어울리다,似合う,Match,어둡다,暗い,Dark,불타다,燃える,be on fire,세우다,たてる,Build,까맣다,黒い,Black,밀리다,滞る,Be Delayed/Be Stopped,상대 의견을 존중해요.,相手の意見を尊重します。,I respect others' opinions.,そんちょうする
