Correct_Korean,Correct_Japanese,Correct_English,Choice1_Korean,Choice1_Japanese,Choice1_English,Choice2_Korean,Choice2_Japanese,Choice2_English,Choice3_Korean,Choice3_Japanese,Choice3_English,Choice4_Korean,Choice4_Japanese,Choice4_English,Choice5_Korean,Choice5_Japanese,Choice5_English,Choice6_Korean,Choice6_Japanese,Choice6_English,Choice7_Korean,Choice7_Japanese,Choice7_English,Choice8_Korean,Choice8_Japanese,Choice8_English,Example_Sentence,Example_Sentence_Meaning,Example_Sentence_Meaning_English,Correct_Hiragana
잡수시다,召し上がる,Have (honorific),드리다,差し上げる,Give (polite),좋아하다,好む,Like,느낌,感じ、気持ち,Feeling/Mood,반갑다,嬉しい,Glad/Pleased,매다,結ぶ、締める,Tie/Buckle,소개하다,紹介する,Introduce,보이다,見える、見せる,See/Show,구경하다,見物する,Watch,저녁을 잡수세요.,夕食を召し上がってください。,Please have dinner.,めしあがる
따라오다,ついて来る,Follow Coming,초대하다,招待する,Invite,굽다,焼く,Bake,시끄럽다,うるさい,Noisy,태어나다,生まれる,Be Born,그만하다,やめる,stop/quit,모르겠습니다,知りません、わかりません,Don't Know/Don't Understand,외롭다,さびしい,Lonely,싱겁다,(味が)薄い,Plain,친구가 저를 따라왔어요.,友達が私についてきました。,A friend followed me.,ついてくる
갖다,持つ,Have/Carry,올라가다,上る,Go Up,조심하다,注意する,Be Careful,싫다,嫌いだ,Dislike,감동하다,感動する,Be Moved,크다,大きい,Big,떠나다,発つ、去る,Leave,걸다,かける,Hang/Call,푹,ぐっすり,Deeply,책을 집에 갖다 놓으세요。,本を家に持って行ってください。,Please take the book home.,もつ
나다,出る,Appear/Leave,이상하다,おかしい,Strange,깨뜨리다,壊す,break (an object),길다,長い,Long,넓다,広い,Wide,어울리다,似合う,Match,유명하다,有名だ,Famous,다녀오다,行って来る,Go and Come Back,모르다,知らない,Don't Know,해가 나기 시작했어요。,太陽が出始めました。,The sun began to rise.,でる
싫다,嫌いだ,Dislike,출근하다,出勤する,Go to Work,잘생기다,ハンサムだ,Handsome,외롭다,さびしい,Lonely,잡수시다,召し上がる,Have (honorific),들어가다,入って行く、入る,Enter,까맣다,黒い,Black,고프다,空腹だ,Hungry,화장하다,化粧する,Put on Makeup,이 음식이 싫어요.,この料理が嫌いです。,I dislike this food.,きらいだ
취소하다,取り消す,Cancel,감다,(目を)閉じる,Close Eyes,내려가다,下がって行く、下がる、降りて行く,Go Down/Descend,맛있다,おいしい,Delicious,복잡하다,複雑だ、混雑している,Complex/Crowded,없다,ない,Not Exist,앉다,座る,Sit,고프다,空腹だ,Hungry,말씀하다,お話する、おっしゃる,Speak (honorific),예약을 취소했어요.,予約を取り消しました。,I canceled the reservation.,とりけす
도와주다,助けてあげる、助ける,Help,밀리다,滞る,Be Delayed/Be Stopped,맛있다,おいしい,Delicious,결혼하다,結婚する,Marry,조심하다,注意する,Be Careful,지키다,守る,Protect,바쁘다,忙しい,Busy,처음 뵙겠습니다,初めまして,Nice to meet you,만족하다,満足する,satisfied,그는 저를 도와줬어요.,彼は私を助けてくれました。,He helped me.,たすける
쓰이다,使われる,Be Used,싸우다,けんかする,Fight,입원하다,入院する,Be Hospitalized,시작되다,始まる,Begin,춥다,寒い,Cold,가지다,持つ,Have,맞아요,その通りです,That's Right (informal),곱다,美しい,Beautiful,싫다,嫌いだ,Dislike,이 단어는 자주 쓰여요.,この単語はよく使われます。,This word is often used.,つかわれる
요리하다,料理する,cook,설명하다,説明する,Explain,부탁하다,依頼する,Request,하다,する,Do,나누다,分ける,Divide/Share,취직하다,就職する,Get a Job,죽다,死ぬ,Die,어둡다,暗い,Dark,모이다,集まる,Gather/Assemble,오늘 저녁은 제가 요리할게요.,今日の夕食は私が料理します。,I'll cook dinner tonight.,りょうりする
끓이다,沸かす、煮る,Boil/Cook,차리다,整える,Set/Prepare,보이다,見える、見せる,See/Show,실례하다,失礼する,Excuse Oneself,좋아하다,好む,Like,뜨겁다,熱い,Hot,시원하다,涼しい,Cool,벌다,(お金を)稼ぐ、儲ける,Earn,굽다,焼く,Bake,물을 끓여주세요。,水を沸かしてください。,Please boil the water.,わかす
