Correct_Korean,Correct_Japanese,Correct_English,Choice1_Korean,Choice1_Japanese,Choice1_English,Choice2_Korean,Choice2_Japanese,Choice2_English,Choice3_Korean,Choice3_Japanese,Choice3_English,Choice4_Korean,Choice4_Japanese,Choice4_English,Choice5_Korean,Choice5_Japanese,Choice5_English,Choice6_Korean,Choice6_Japanese,Choice6_English,Choice7_Korean,Choice7_Japanese,Choice7_English,Choice8_Korean,Choice8_Japanese,Choice8_English,Example_Sentence,Example_Sentence_Meaning,Example_Sentence_Meaning_English,Correct_Hiragana
오랜만에,久しぶりに,After a While,정의,正義,justice,소파,ソファー,Sofa,경치,景色、風景,Scenery,장갑,手袋,gloves,선수,選手,Player,어떻게,どうやって,how,오직,ただ,only/exclusively,교통사고,交通事故,Traffic Accident,오랜만에 친구를 봤어요.,久しぶりに友達に会いました。,I saw a friend after a long time.,ひさしぶりに
대학원,大学院,Graduate School,연습,練習,Practice,정류장,停留所,Bus Stop,쓰기,書くこと,Writing,모레,あさって,Day After Tomorrow,고등학교,高等学校,High School,습관,習慣,Habit,약,約~、薬,Approximately/Medicine,대회,大会,Competition,그는 대학원에 진학했어요.,彼は大学院に進学しました。,He entered graduate school.,だいがくいん
이야기,話,Story,옆,横,Next To,배달,配達、出前,Delivery/Takeout,이미,すでに,already,공기,空気,Air,양복,スーツ,Suit,대출,貸出,loan,핸드폰,携帯電話,mobile phone,자두,すもも,plum,흥미로운 이야기를 들었어요.,興味深い話を聞きました。,I heard an interesting story.,はなし
자리,座席,Seat,선수,選手,Player,베이지색,ベージュ,beige,대한민국,大韓民国,Republic of Korea,저녁,夕方,Dinner,데이터,データ,data,사이즈,サイズ,Size,콜라,コーラ,Cola,수집,収集,collecting,자리를 찾아주세요.,席を探してください。,Please find your seat.,ざせき
쯤,~ごろ,Around,계단,階段,Stairs,전자사전,電子辞書,Electronic Dictionary,여름,夏,Summer,남학생,男子学生,Boy Student,도서관,図書館,library,달러,ドル,Dollar,수박,スイカ,watermelon,사탕,飴,Candy,한 시간쯤 걸려요.,1時間ぐらいかかります。,It takes about an hour.,ごろ
은색,銀色,silver,은행원,銀行員,Banker,반찬,おかず,Side Dish,분,分/名(目上の人),Minute/Person,현금,現金,cash,손뜨개,手編み/ニット,knitting,카메라,カメラ,camera,몸,体,Body,과거,過去,past,은색 자동차가 눈에 띄네요.,銀色の車が目立ちますね。,The silver car stands out.,ぎんいろ
이런,こんな,this kind of,저곳,あそこ,That Place,장점,長所,Strength,정원,庭,garden,지하철,地下鉄,subway,권,巻,Volume,선수,選手,Player,인삼,人参,Ginseng,낮,昼、日中,Daytime,이런 상황은 처음이에요.,こんな状況は初めてです。,I’ve never been in a situation like this.,こんな
성탄절,ソンタンジョル (クリスマス),Christmas,한국말,韓国語,Korean Language,추석,チュソク (秋夕),Korean Thanksgiving,그래프,グラフ,graph,영수증,領収書,receipt,기차,汽車,Train,자두,すもも,plum,기념품,お土産,souvenir,스웨터,セーター,Sweater,성탄절에는 교회에서 예배를 드려요.,クリスマスには教会で礼拝をします。,We attend a service at church on Christmas.,そんたんじょる
전망,展望,prospect/view,돼지고기,豚肉,Pork,아침밥,朝ご飯,Breakfast,소리,音,Sound,우유,牛乳,milk,통,通,Container,씩,~ずつ,Each,어깨,肩,Shoulder,하루,1日,One Day,전망이 좋아요.,展望がいいです。,The view is great.,てんぼう
자동차,自動車,car,사자,獅子,lion,등산,登山,hiking/mountain climbing,바닷가,海辺、浜辺,Beach,거기,そこ,There,갈비탕,カルビタン,Beef Rib Soup,빨리,早く,quickly/fast,지혜,知恵,wisdom,짜리,価値があるもの,Value,자동차를 운전했어요.,自動車を運転しました。,I drove a car.,じどうしゃ
