Correct_Korean,Correct_Japanese,Correct_English,Choice1_Korean,Choice1_Japanese,Choice1_English,Choice2_Korean,Choice2_Japanese,Choice2_English,Choice3_Korean,Choice3_Japanese,Choice3_English,Choice4_Korean,Choice4_Japanese,Choice4_English,Choice5_Korean,Choice5_Japanese,Choice5_English,Choice6_Korean,Choice6_Japanese,Choice6_English,Choice7_Korean,Choice7_Japanese,Choice7_English,Choice8_Korean,Choice8_Japanese,Choice8_English,Example_Sentence,Example_Sentence_Meaning,Example_Sentence_Meaning_English,Correct_Hiragana
병,〜本、病気,Bottle/Illness,오랜만에,久しぶりに,After a While,티셔츠,Tシャツ,T-Shirt,오랜만,久しぶり,After a While,한식,韓国料理,Korean Food,장점,長所,Strength,꽃,花,flower,화가,画家,Painter,초콜릿,チョコレート,Chocolate,병에 물을 담았어요.,瓶に水を入れました。,I filled the bottle with water.,びょう
김포공항,金浦空港,Incheon Airport,가운데,中間,Middle,어깨,肩,Shoulder,단체,団体,group/organization,귤,みかん,Mandarin Orange,초,秒,second,산책,散策,Walk,실제로,実際に,actually/in reality,오이,きゅうり,cucumber,김포공항에서 비행기를 탔어요。,金浦空港で飛行機に乗りました。,I took a flight at Gimpo Airport.,きんぽこうくう
별로,別に,Not Particularly,쌀밥,ご飯,Cooked Rice,가장,最も、一番,Most,무,大根,Radish,시설,施設,Facility,중학생,中学生,Middle School Student,빌딩,建物,building,버스정류장,バス停,Bus stop,손수건,ハンカチ,Handkerchief,별로 관심이 없어요.,特に興味がありません。,I am not particularly interested.,べつに
남편,夫,Husband,도대체,いったい (疑問を強調),on earth,떡볶이,トッポギ,Tteokbokki,기타,その他,Other/Guitar,여자,女性,Woman,더,より,More,첫,初めての,first,시청,市役所,City Hall,오히려,むしろ,rather (contrary),남편과 함께 저녁을 먹었어요。,夫と一緒に夕食を食べました。,I had dinner with my husband.,おっと
며칠,何日,How Many Days,약,約~、薬,Approximately/Medicine,평화,平和,peace,불고기,プルコギ,Bulgogi,개인,個人,Individual,이상,以上,More Than,투어,ツアー,tour,수건,タオル,Towel,등산,登山,hiking/mountain climbing,며칠 동안 여행을 했어요.,何日間旅行をしました。,I traveled for a few days.,なんにち
예문,例文,Example Sentence,대학원생,大学院生,Graduate Student,환전,両替,currency exchange,연습,練習,Practice,사전,辞書,Dictionary,무척,とても、非常に,Very/Extremely,고장,故障,Breakdown,박물관,博物館,museum,전,全,All,예문을 참고하세요.,例文を参考にしてください。,Please refer to the example sentence.,れいぶん
주말,週末,Weekend,자,さあ,Now,카드,カード,Card,저쪽,あちら,That Side,햄버거,ハンバーガー,Hamburger,내용,内容,Content,건너편,向こう側,Other Side,우주,宇宙,universe,편의점,コンビニ,convenience store,주말에는 쉬어요.,週末には休みます。,I rest on weekends.,しゅうまつ
기름,油、ガソリン,Oil/Fuel,대사관,大使館,embassy,장례식,葬礼,funeral,꽃집,花屋,Flower Shop,김치찌개,キムチ鍋,Kimchi Stew,목요일,木曜日,Thursday,아직,まだ,Still,위,胃,stomach,희망,希望,hope,자동차에 기름을 넣었어요。,車にガソリンを入れました。,I put fuel in the car.,あぶら
수요일,水曜日,Wednesday,가설,仮説,hypothesis,양,羊,sheep,딸기,いちご,Strawberry,방문,訪問,Visit,마침,ちょうど,just in time,여학생,女子学生,Female Student,꽃집,花屋,Flower Shop,가지,種類,Type,수요일에는 운동을 해요.,水曜日には運動をします。,I exercise on Wednesdays.,すいようび
테이블,テーブル,Table,출구,出口,exit,실례,失礼,Excuse,들,~たち、~ども,Plural Suffix,자기,自己,Self,아마,多分,Probably,돌,石,stone,어느 쪽,どちら,which side,인상,印象,Impression,테이블 위에 꽃병이 있어요.,テーブルの上に花瓶があります。,There is a vase on the table.,てーぶる
