Correct_Korean,Correct_Japanese,Correct_English,Choice1_Korean,Choice1_Japanese,Choice1_English,Choice2_Korean,Choice2_Japanese,Choice2_English,Choice3_Korean,Choice3_Japanese,Choice3_English,Choice4_Korean,Choice4_Japanese,Choice4_English,Choice5_Korean,Choice5_Japanese,Choice5_English,Choice6_Korean,Choice6_Japanese,Choice6_English,Choice7_Korean,Choice7_Japanese,Choice7_English,Choice8_Korean,Choice8_Japanese,Choice8_English,Example_Sentence,Example_Sentence_Meaning,Example_Sentence_Meaning_English,Correct_Hiragana
배터리,バッテリー,battery,수도,首都,Capital,아저씨,おじさん,Uncle,간장,醤油,Soy Sauce,경주,慶州,Kyongju,발,足,foot,아버지,父,Father,밤,夜,Night,사전,辞書,Dictionary,배터리가 부족해요.,バッテリーが足りません。,The battery is running low.,ばってりー
끝,終わり,End,운동장,運動場,Playground,시내,市内/小川,Downtown/Stream,반,半分、班,Half/Group,학교,学校,School,자리,座席,Seat,웬일,何事,What's the Matter,심하게,ひどく,severely,상당히,かなり,quite/fairly,회의가 끝났어요。,会議が終わりました。,The meeting has ended.,おわり
전화,電話,telephone,초록색,緑色,Green,영어,英語,English,원인,原因,cause,학년,学年,Grade,회의,会議,Meeting,기숙사,寄宿舎、寮,Dormitory,계좌,口座,account,그러나,しかし,but/however,전화를 받았어요.,電話に出ました。,I answered the phone.,でんわ
미리,前もって、あらかじめ,In Advance,간,間,Between,실제로,実際に,actually/in reality,지난번,前回,Last Time,박수,拍手,Applause,선물,プレゼント,Gift,가족,家族,Family,신발,靴,shoes,새우,えび,Shrimp,미리 준비했어요.,前もって準備しました。,I prepared in advance.,まえもって、あらかじめ
기간,期間,Period,그분,その方,That Person (honorific),기숙사,寄宿舎、寮,Dormitory,자두,すもも,plum,샴푸,シャンプー,Shampoo,지난주,先週,Last Week,테이블,テーブル,Table,소포,小包,Parcel,비자,ビザ,visa,계약 기간은 1년이에요。,契約期間は1年です。,The contract period is one year.,きかん
정오,正午,noon,사진,写真,photo,월,月,Month,선물,プレゼント,Gift,책,本,book,주인,主人,owner/master,이자,利子,interest,벽,壁,wall,오랜만,久しぶり,After a While,정오는 12시를 말해요.,正午は12時のことです。,Noon refers to 12 o'clock.,しょうご
팀,チーム,team,좀,ちょっと,A Little,예,はい,Yes,해외여행,海外旅行,Overseas Travel,대체로,だいたい,mostly/generally,거실,居間,Living Room,년,～年,Year,중심,中心,Center,간신히,かろうじて,barely,우리 팀이 이겼어요!,私たちのチームが勝ちました！,Our team won!,ちーむ
벽,壁,wall,가슴,胸,Chest,대체로,だいたい,mostly/generally,벌,罰,punishment,월급,月給,Salary,거리,通り、街,Street/Distance,위치,位置,Location,수입,収入,income,결혼,結婚,marriage,벽에 그림이 걸려 있어요.,壁に絵が掛かっています。,There's a picture on the wall.,かべ
환전,両替,currency exchange,마지막,最後,Last/Final,엘리베이터,エレベーター,elevator,술,酒,Alcohol,아침,朝,Morning,블라우스,ブラウス,Blouse,아줌마,おばさん,Aunt (informal),거기,そこ,There,새,新しい/鳥,New/Bird,공항에서 환전을 했어요.,空港で両替しました。,I exchanged currency at the airport.,りょうがえ
진달래,ツツジ,Azalea,어린이,子供,Child,성격,性格,Personality,위,胃,stomach,독서,読書,reading,그렇게,そのように,In that way,중,中,Middle,그중,その中,Among,예산,予算,budget,진달래가 예쁘게 피었어요.,ツツジがきれいに咲きました。,Azaleas have bloomed beautifully.,つつじ
