Correct_Korean,Correct_Japanese,Correct_English,Choice1_Korean,Choice1_Japanese,Choice1_English,Choice2_Korean,Choice2_Japanese,Choice2_English,Choice3_Korean,Choice3_Japanese,Choice3_English,Choice4_Korean,Choice4_Japanese,Choice4_English,Choice5_Korean,Choice5_Japanese,Choice5_English,Choice6_Korean,Choice6_Japanese,Choice6_English,Choice7_Korean,Choice7_Japanese,Choice7_English,Choice8_Korean,Choice8_Japanese,Choice8_English,Example_Sentence,Example_Sentence_Meaning,Example_Sentence_Meaning_English,Correct_Hiragana
베이지색,ベージュ,beige,경험,経験,Experience,쓰기,書くこと,Writing,자동차회사,自動車会社,Automobile Company,그렇구나,なるほど,I see,요르단,ヨルダン,Jordan,간장,醤油,Soy Sauce,필요,必要,Need,모임,集まり,Gathering/Meeting,베이지색 코트를 샀어요.,ベージュのコートを買いました。,I bought a beige coat.,べーじゅ
잠시,ちょっと,A While,계좌,口座,account,평화,平和,peace,작은어머니,父の弟の妻、おば,Aunt (Paternal),중요,重要,Important,편지,手紙,Letter,분홍색,ピンク,pink,습관,習慣,Habit,아줌마,おばさん,Aunt (informal),잠시 후에 다시 연락할게요.,ちょっと後でまた連絡します。,I will contact you again in a while.,ちょっと
모니터,モニター,monitor,예약,予約,Reservation,조선,朝鮮,Joseon,상관,関係,Relation,돌,石,stone,점원,店員,Clerk,외국어,外国語,Foreign Language,화요일,火曜日,Tuesday,전화기,電話機,Telephone,모니터가 꺼졌어요.,モニターが消えました。,The monitor turned off.,もにたー
연두색,黄緑色,yellowish green,승리,勝利,victory,인터넷,インターネット,internet,프로그램,プログラム,Program,땀,汗,Sweat,옷가게,服屋,Clothing Store,말,言葉、話,Word/Speech,장마철,梅雨時,Rainy Season,독일,ドイツ,Germany,연두색 잎이 싱그러워 보여요.,黄緑色の葉がさわやかに見えます。,The yellowish-green leaves look so fresh.,きみどりいろ
대한민국,大韓民国,Republic of Korea,개,~個、犬,Dog/Counter for items,연락처,連絡先,Contact Info,누나,(弟から見て)姉,Older Sister (from younger brother's perspective),간,間,Between,지우개,消しゴム,eraser,가스,瓦斯,gas,년,～年,Year,가장,最も、一番,Most,대한민국은 아름다운 나라예요.,大韓民国は美しい国です。,South Korea is a beautiful country.,たいかんみんこく
일본,日本,Japan,시장,市場,Market,고추장,コチュジャン,Chili Paste,주인,主人,owner/master,어떻게,どうやって,how,떡,餅,Mochi,어둠,闇,darkness,냄비,鍋,Pot,다시,再び、また,Again,일본에 여행 갔어요.,日本へ旅行に行きました。,I went on a trip to Japan.,にほん
어느,どの,which/some,지난달,先月,Last Month,소방관,消防官,firefighter,발표,発表,Presentation,살,歳,Age,호랑이,虎,tiger,구름,雲,cloud,쯤,~ごろ,Around,학기,学期,Semester,어느 쪽이 좋아요?,どちらがいいですか。,Which side do you prefer?,どの
데이트,デート,Date,형제,兄弟,Brothers,아내,妻,Wife,무엇(뭐),何,what,하늘색,空色,sky blue,악기 연주,楽器演奏,playing instruments,심하게,ひどく,severely,도시,都市,city,필요,必要,Need,주말에 데이트를 할 거예요.,週末にデートをします。,I will go on a date this weekend.,でーと
꽃집,花屋,Flower Shop,누구,誰,Who,글,文章、文字,Writing/Text,숙박,宿泊,accommodation,동생,弟・妹,Sibling (younger),식탁,食卓,Dining Table,고장,故障,Breakdown,태풍,台風,typhoon,물건,物、物品,Thing/Item,꽃집에서 꽃을 샀어요。,花屋で花を買いました。,I bought flowers at the flower shop.,はなや
뜻,意味、こころざし,Meaning/Intention,안개,霧,fog,가슴,胸,Chest,뒤쪽,後ろ、後ろの方、後側,Back Side,교회,教会,church,잘못,間違って,Mistake,아랍어,アラビア語,Arabic,평일,平日,weekday,부동산,不動産,Real Estate,그 말의 뜻을 이해했어요.,その言葉の意味を理解しました。,I understood the meaning of that word.,いみ、こころざし
