Correct_Korean,Correct_Japanese,Correct_English,Choice1_Korean,Choice1_Japanese,Choice1_English,Choice2_Korean,Choice2_Japanese,Choice2_English,Choice3_Korean,Choice3_Japanese,Choice3_English,Choice4_Korean,Choice4_Japanese,Choice4_English,Choice5_Korean,Choice5_Japanese,Choice5_English,Choice6_Korean,Choice6_Japanese,Choice6_English,Choice7_Korean,Choice7_Japanese,Choice7_English,Choice8_Korean,Choice8_Japanese,Choice8_English,Example_Sentence,Example_Sentence_Meaning,Example_Sentence_Meaning_English,Correct_Hiragana
이렇다,こうだ,Be Like This,출근하다,出勤する,Go to Work,깨다,割る、壊す,Break,긴장되다,緊張する,Be Nervous,빌리다,借りる,Borrow,그리다,(絵を)描く,Draw,두껍다,厚い,Thick,젊다,若い,Young,멋지다,素敵だ,nice,상황이 이렇습니다.,状況はこうです。,The situation is like this.,こうだ
위험하다,危険だ,Dangerous,알다,知る,Know,가르치다,教える,Teach,필요하다,必要だ,Be Necessary,불타다,燃える,be on fire,깨끗하다,清潔だ、きれいだ,Clean,가깝다,近い,Close,돌아가다,帰って行く,Go Back,울리다,鳴らす,Make Someone Cry,길이 위험해요.,道が危険です。,The road is dangerous.,きけんだ
맞다,合う、合っている、正しい,Fit/Be Correct/Be Right,지내다,過ごす,Live/Spend Time,쉽다,簡単だ,Easy,놀다,遊ぶ,Play,글쎄요,そうですね、どうでしょうね,Well...,다르다,違う、異なる,Different,자르다,切る,Cut,따라가다,ついて行く、従う,Follow,독서하다,読書する,Read,그 옷이 너에게 잘 맞아요.,その服が君によく似合っています。,That clothes fit you well.,あう、あっている、ただしい
끄다,消す、止める,Turn Off,매다,結ぶ、締める,Tie/Buckle,시키다,注文する,Order,부르다,人を呼ぶ、歌う,Call,앉다,座る,Sit,걸다,かける,Hang/Call,가리다,覆う/隠す,cover,귀엽다,かわいい,Cute,시다,酸っぱい,Sour,불을 껐어요。,火を消しました。,I turned off the fire.,けす
바쁘다,忙しい,Busy,나가다,出て行く,Go Out,팔다,売る,Sell,전하다,伝える,Deliver,짧다,短い,Short,돌아오다,帰って来る,Return,가리다,覆う/隠す,cover,걸어오다,歩いて来る,Walk to Here,감사드립니다,ありがとうございます,Thank you very much,오늘은 정말 바빠요.,今日は本当に忙しいです。,I am really busy today.,いそがしい
만지다,触る、触れる,Touch,주다,あげる,Give,대답하다,返事する、答える,Answer,시키다,注文する,Order,타다,乗る,Ride,유명하다,有名だ,Famous,낮다,低い,Low,일하다,働く,Work,위험하다,危険だ,Dangerous,꽃을 만졌어요.,花に触れました。,I touched a flower.,さわる、ふれる
노래하다,歌う,Sing,멋지다,素敵だ,nice,감사합니다,ありがとうございます,Thank you,내리다,下がる、降りる、降る,Descend/Drop/Rain,운동하다,運動する,Exercise,밀리다,滞る,Be Delayed/Be Stopped,맑다,清い、澄んでいる,Clear/Pure,감동하다,感動する,Be Moved,짧다,短い,Short,나는 자주 노래해요。,私はよく歌います。,I often sing.,うたう
감사하다,感謝する,Be Grateful,세우다,たてる,Build,바르다,塗る、つける,Apply/Put On,싶다,~したい,Want To,설명하다,説明する,Explain,불타다,燃える,be on fire,잊다,忘れる,Forget,운전하다,運転する,Drive,아니요,いいえ,No,도와주셔서 감사합니다。,助けてくれて感謝します。,Thank you for your help.,かんしゃする
들어오다,入って来る、入る,Come In,안다,抱く,Hug,차리다,整える,Set/Prepare,잃어버리다,失くしてしまう,Lose Completely,막히다,詰まる、つかえる,Block/Clog,두껍다,厚い,Thick,되다,~になる,Become,붙다,くっつく,Stick,떨어지다,落ちる,Fall,친구가 들어왔어요.,友達が入ってきました。,A friend came in.,はいってくる
씻다,洗う,Wash,즐겁다,楽しい,Fun,결정하다,決定する,Decide,차리다,整える,Set/Prepare,잊어버리다,忘れてしまう,Completely Forget,움직이다,動く,Move,갖다,持つ,Have/Carry,실례하다,失礼する,Excuse Oneself,기뻐하다,嬉しがる,Be Happy,손을 씻으세요.,手を洗ってください。,Please wash your hands.,あらう
