Correct_Korean,Correct_Japanese,Correct_English,Choice1_Korean,Choice1_Japanese,Choice1_English,Choice2_Korean,Choice2_Japanese,Choice2_English,Choice3_Korean,Choice3_Japanese,Choice3_English,Choice4_Korean,Choice4_Japanese,Choice4_English,Choice5_Korean,Choice5_Japanese,Choice5_English,Choice6_Korean,Choice6_Japanese,Choice6_English,Choice7_Korean,Choice7_Japanese,Choice7_English,Choice8_Korean,Choice8_Japanese,Choice8_English,Example_Sentence,Example_Sentence_Meaning,Example_Sentence_Meaning_English,Correct_Hiragana
작년,昨年,Last Year,보통,ふつう、一般的に,Usually,커피,コーヒー,Coffee,중심,中心,Center,식료품점,食料品店,grocery store,놀이공원,遊園地,amusement park,아침식사,朝食,Breakfast,코트,コート,Coat,자료,資料,materials/data,작년에 졸업했어요.,昨年卒業しました。,I graduated last year.,さくねん
국수,麺,Noodles,부장,部長,Manager,범죄,犯罪,crime,올림픽,オリンピック,Olympics,드디어,ついに,finally/at last,듣기,聞くこと、聞き取り,Listening,귀,耳,ear,골목,路地、裏通り,Alley,두부찌개,豆腐チゲ,Tofu Stew,냉면을 먹고 싶어요。,冷麺を食べたいです。,I want to eat cold noodles.,めん
교수,教授,Professor,시간표,時間表,Schedule,동아리,愛好会、サークル,Club,때,時,Time,쓰기,書くこと,Writing,전자사전,電子辞書,Electronic Dictionary,겨울,冬,Winter,지출,支出,expense,사촌,いとこ,Cousin,그는 유명한 교수가 되었어요。,彼は有名な教授になりました。,He became a famous professor.,きょうじゅ
글,文章、文字,Writing/Text,빨간색,赤,Red,유럽,ヨーロッパ,Europe,귀,耳,ear,습관,習慣,Habit,학생,学生,student,어떻게,どうやって,how,엔지니어,エンジニア,engineer,휴가,休暇,Vacation,그는 좋은 글을 써요。,彼は良い文章を書きます。,He writes good texts.,ぶんしょう
적갈색,赤褐色,reddish brown,일기예보,天気予報,Weather Forecast,문자,文字,character,스페인어,スペイン語,Spanish,커피숍,コーヒーショップ,Coffee Shop,정문,正門,Main Gate,빵집,パン屋,Bakery,장갑,手袋,gloves,상관,関係,Relation,그 가방은 적갈색이에요.,そのカバンは赤褐色です。,That bag is a reddish-brown color.,せきかっしょく
발표,発表,Presentation,사건,事件,incident,선물,プレゼント,Gift,감사,感謝,Gratitude,운동복,体操服,Sportswear,다이어트,ダイエット,Diet,돌,石,stone,사자,獅子,lion,아시아,アジア,Asia,발표가 잘 끝났습니다.,発表がうまく終わりました.,The presentation went well.,はっぴょう
없이,なしで,Without,반바지,半ズボン,Shorts,내용,内容,Content,숲,森,forest,개,~個、犬,Dog/Counter for items,모레,あさって,Day After Tomorrow,정보,情報,Information,적,的,Enemy/Target,아침밥,朝ご飯,Breakfast,그는 지도 없이 여행했어요.,彼は地図なしで旅行しました。,He traveled without a map.,なしで
능력,能力,Ability,반려동물,ペット,Pet,돈,お金,Money,양,量,Amount,이번,今回,This Time,영수증,領収書,receipt,자기,自己,Self,상처,傷,Wound,서류,書類,Document,그는 뛰어난 능력을 가지고 있어요.,彼は優れた能力を持っています。,He has excellent abilities.,のうりょく
서울,ソウル,Seoul,창문,窓,window,외국,外国,Foreign Country,아파트,アパート,Apartment,고모부,おばの夫、おじ,Uncle (aunt's husband),동네,町内、ご近所,Neighborhood,사고,事故,accident,과학자,科学者,scientist,갈비,カルビ,Beef Ribs,서울은 한국의 수도예요.,ソウルは韓国の首都です。,Seoul is the capital of Korea.,そうる
언니,姉,Sister,그림,絵,picture,약,約~、薬,Approximately/Medicine,가방,鞄,Bag,그런데,ところで,but/by the way,목요일,木曜日,Thursday,닭고기,鶏肉,Chicken Meat,비디오,ビデオ,Video,며칠,何日,How Many Days,언니가 공부를 잘해요.,姉が勉強をよくできます。,My sister is good at studying.,あね
