Correct_Korean,Correct_Japanese,Correct_English,Choice1_Korean,Choice1_Japanese,Choice1_English,Choice2_Korean,Choice2_Japanese,Choice2_English,Choice3_Korean,Choice3_Japanese,Choice3_English,Choice4_Korean,Choice4_Japanese,Choice4_English,Choice5_Korean,Choice5_Japanese,Choice5_English,Choice6_Korean,Choice6_Japanese,Choice6_English,Choice7_Korean,Choice7_Japanese,Choice7_English,Choice8_Korean,Choice8_Japanese,Choice8_English,Example_Sentence,Example_Sentence_Meaning,Example_Sentence_Meaning_English,Correct_Hiragana
전혀,全然(まったく),not at all,자정,真夜中,midnight,에스카레이터,エスカレーター,escalator,영화관,映画館,Cinema,법,法,law,초록색,緑色,Green,색깔,色,Color,부산,プサン,Busan,수치,数値,value/figure,전혀 모르겠어요.,全然わかりません。,I don’t understand at all.,ぜんぜん
명절,年中行事,Holiday/Festival,비록 ~지만,たとえ〜でも,even though...,터미널,ターミナル,Terminal,작은어머니,父の弟の妻、おば,Aunt (Paternal),모든,すべての,all/every,표,チケット,Ticket,허리,腰,Waist,예문,例文,Example Sentence,꽃,花,flower,명절에 가족과 함께해요.,年中行事に家族と一緒に過ごします。,I spend holidays with my family.,ねんちゅうぎょうじ
대학교,大学校,College/University,종업원,従業員,Employee,초등학교,小学校,elementary school,사실,事実,fact,섬,島,Island,보라색,紫色,purple,국적,国籍,Nationality,국수,麺,Noodles,빨간색,赤,Red,대학교에서 경제를 전공했어요.,大学校で経済を専攻しました。,I majored in economics at university.,だいがくこう
경찰,警察,Police,진실,真実,truth,능력,能力,Ability,과자,菓子,Snack,셔츠,シャツ,shirt,주사,注射,Injection,후,~後,After,해일,津波,tsunami,서울,ソウル,Seoul,경찰에게 도움을 요청했어요。,警察に助けを求めました。,I asked the police for help.,けいさつ
고기,肉,Meat,해외여행,海外旅行,Overseas Travel,벌,罰,punishment,송이,(花などの)房,Bunch,국수,麺,Noodles,시골,いなか,Countryside,주말,週末,Weekend,수건,タオル,Towel,중국집,中華料理店,Chinese Restaurant,저는 고기를 좋아해요。,私は肉が好きです。,I like meat.,にく
사진 촬영,写真撮影,photography,여러분,皆様,Everyone,점퍼,ジャンパー,Jumper,하늘,空,Sky,그럼,では,Well then,치약,歯磨き粉,Toothpaste,오이,きゅうり,cucumber,발표,発表,Presentation,병,〜本、病気,Bottle/Illness,사진 촬영이 취미예요.,写真撮影が趣味です。,My hobby is photography.,しゃしんさつえい
도움,助け,Help,목걸이,ネックレス,Necklace,그쪽,そちら、その方,That Side/Person,외국인,外国人,Foreigner,축구,サッカー,Soccer,어머님,お母様,Mother (honorific),냄비,鍋,Pot,노란색,黄色,Yellow,필요,必要,Need,그의 도움이 필요해요.,彼の助けが必要です。,I need his help.,たすけ
하지만,でも,but/however,저쪽,あちら,That Side,우편번호,郵便番号,postal code,직접,直接,Directly,이해,理解,Understanding,역,駅,Station,계란,鶏卵、たまご,Egg,요리사,料理人,chef,여동생,妹,Younger Sister,하지만 아직 기회가 있어요.,でもまだチャンスがあります。,But there’s still a chance.,でも
깜짝,はっと,Surprise,안부,安否,well-being,낮,昼、日中,Daytime,늑대,狼,wolf,서쪽,西,West,예약,予約,Reservation,어둠,闇,darkness,가뭄,干ばつ,drought,국어,国語,Korean Language,깜짝 놀랐어요!,はっと驚きました！,I was really surprised!,はっと
하숙집,下宿先,Lodging House,뉴욕,ニューヨーク,New York,교회,教会,church,모자,帽子,hat,장례식,葬礼,funeral,산책로,散策路,walking path,새벽,未明/明け方,dawn,그렇지만,そうだけど,however,중,中,Middle,하숙집에서 살아요.,下宿先で住んでいます。,I live in a lodging house.,げしゅくさき
