Correct_Korean,Correct_Japanese,Correct_English,Choice1_Korean,Choice1_Japanese,Choice1_English,Choice2_Korean,Choice2_Japanese,Choice2_English,Choice3_Korean,Choice3_Japanese,Choice3_English,Choice4_Korean,Choice4_Japanese,Choice4_English,Choice5_Korean,Choice5_Japanese,Choice5_English,Choice6_Korean,Choice6_Japanese,Choice6_English,Choice7_Korean,Choice7_Japanese,Choice7_English,Choice8_Korean,Choice8_Japanese,Choice8_English,Example_Sentence,Example_Sentence_Meaning,Example_Sentence_Meaning_English,Correct_Hiragana
금색,金色,gold,파,ねぎ,Green Onion,살,歳,Age,치약,歯磨き粉,Toothpaste,운동선수,スポーツ選手,Athlete,달력,カレンダー,calendar,반달,半月,Half Moon,홍차,紅茶,Black Tea,살구색,肌色/apricot color,peach/apricot,금색 장식이 화려해요.,金色の装飾が華やかです。,The gold decoration is gorgeous.,きんいろ
대구,テグ,Daegu,외국어,外国語,Foreign Language,아직,まだ,Still,부엌,台所,Kitchen,세탁소,クリーニング屋,Dry Cleaner,무척,とても、非常に,Very/Extremely,식료품점,食料品店,grocery store,일본,日本,Japan,소식,消息,news,대구는 사과와 더운 날씨로 유명해요.,大邱はリンゴと暑い気候で有名です。,Daegu is known for apples and its hot weather.,てぐ
껌,ガム,Gum,열차,列車,Train,커피숍,コーヒーショップ,Coffee Shop,무슨 일,何の用,what matter/reason,길,道,Street/Road,철학,哲学,philosophy,오징어,いか,Squid,갑자기,急に,Suddenly,강,川,River,껌을 씹고 있어요。,ガムを噛んでいます。,I am chewing gum.,ガム
내가,僕が、私が,I (subject),원인,原因,cause,동생,弟・妹,Sibling (younger),피,血,Blood,돌,石,stone,비자,ビザ,visa,이혼,離婚,divorce,매일,毎日,Every Day,운동장,運動場,Playground,내가 먼저 할게요。,私が先にします。,I will do it first.,わたしが
저렇게,あのように,Like That,대부분,大部分,mostly/for the most part,과학,科学,science,실험,実験,experiment,몸살,疲労からくる病気,Flu-like Illness,잘못된,誤った,wrong/incorrect,저곳,あそこ,That Place,적갈색,赤褐色,reddish brown,셔츠,シャツ,shirt,저렇게 하면 돼요.,あのようにすれば良いです。,You can do it like that.,あのように
역사,歴史,History,관계,関係,Relationship,언제나,いつも,Always,화장품,化粧品,Cosmetics,농구,バスケットボール,Basketball,상당히,かなり,quite/fairly,저렇게,あのように,Like That,장례식,葬礼,funeral,원,ウォン,Korean Won,역사를 공부하고 있어요.,歴史を勉強しています。,I am studying history.,れきし
남학생,男子学生,Boy Student,탁자,テーブル,table,양식,洋食,Western Food,게임,ゲーム、遊び,Game,데이트,デート,Date,규칙,規則,rule,정치,政治,politics,영국,英国,England,말,馬,horse,남학생들이 운동을 하고 있어요。,男子学生が運動しています。,Boy students are exercising.,だんしがくせい
그중,その中,Among,흰색,白色,White,또는,または,or,유학생,留学生,Foreign Student,결코,決して,never/by no means,코피,鼻血,Nosebleed,가뭄,干ばつ,drought,숲,森,forest,푹,ぐっすり,Deeply,그중에서 가장 좋아하는 것은 무엇인가요?,その中で一番好きなものは何ですか？,Which one do you like the most among them?,そのなか
직업,職業,Occupation,그쪽,そちら、その方,That Side/Person,남동생,弟,Brother (younger),새로,新しく,Newly,목요일,木曜日,Thursday,절,寺,temple,소방관,消防官,firefighter,언제,いつ,When,버스정류장,バス停,Bus stop,그의 직업은 의사예요.,彼の職業は医者です。,His occupation is a doctor.,しょくぎょう
목적,目的,Purpose,늘,いつも、ずっと,Always,남학생,男子学生,Boy Student,탁구,卓球,Table Tennis,어떤,どんな,What Kind Of,바나나,バナナ,banana,참,本当に,Really,하지만,でも,but/however,이어폰,イヤホン,earphones,그의 목적은 성공이에요.,彼の目的は成功です。,His purpose is success.,もくてき
