Correct_Korean,Correct_Japanese,Correct_English,Choice1_Korean,Choice1_Japanese,Choice1_English,Choice2_Korean,Choice2_Japanese,Choice2_English,Choice3_Korean,Choice3_Japanese,Choice3_English,Choice4_Korean,Choice4_Japanese,Choice4_English,Choice5_Korean,Choice5_Japanese,Choice5_English,Choice6_Korean,Choice6_Japanese,Choice6_English,Choice7_Korean,Choice7_Japanese,Choice7_English,Choice8_Korean,Choice8_Japanese,Choice8_English,Example_Sentence,Example_Sentence_Meaning,Example_Sentence_Meaning_English,Correct_Hiragana
짧다,短い,Short,춤추다,踊る,Dance,초대하다,招待する,Invite,밀리다,滞る,Be Delayed/Be Stopped,깨끗하다,清潔だ、きれいだ,Clean,갈아타다,乗り換える,Transfer,빼다,のける、引く、抜く,Take Out,어떻다,どうだ,Be Like,시끄럽다,うるさい,Noisy,머리가 짧아요.,髪が短いです。,The hair is short.,みじかい
하다,する,Do,싫어하다,嫌う,Hate,나가다,出て行く,Go Out,깨끗하다,清潔だ、きれいだ,Clean,수술하다,手術する,Operate,맵다,辛い,Spicy,취소하다,取り消す,Cancel,계산하다,計算する,Calculate,아프다,痛い,Hurt,운동을 해요.,運動をします。,I exercise.,する
지나다,過ぎる,Pass,시끄럽다,うるさい,Noisy,대답하다,返事する、答える,Answer,좋아하다,好む,Like,불다,吹く,Blow,말하다,話す、しゃべる,Talk/Speak,걸리다,かかる,Take Time/Get Stuck,마시다,飲む,Drink,일어서다,立ち上がる,Stand Up,시간이 빨리 지났어요.,時間が早く過ぎました。,Time passed quickly.,すぎる
아프다,痛い,Hurt,생각되다,考えられる,Be Considered,시원하다,涼しい,Cool,꾸다,(夢を)見る、夢見る,Dream,주무시다,お休みになる,Go to bed (honorific),편하다,楽だ,Comfortable,교환하다,交換する,exchange,따라가다,ついて行く、従う,Follow,안내하다,案内する,Guide,머리가 아파요.,頭が痛いです。,My head hurts.,いたい
교환하다,交換する,exchange,느낌,感じ、気持ち,Feeling/Mood,나오다,出て来る、現れる,Come Out/Appear,반갑습니다,お会いできて嬉しいです,Glad to Meet (formal),불편하다,不便だ,Uncomfortable,크다,大きい,Big,조사하다,調査する,Investigate,잊어버리다,忘れてしまう,Completely Forget,말하다,話す、しゃべる,Talk/Speak,불량품이라서 교환했어요.,不良品なので交換しました。,I exchanged it because it was defective.,こうかんする
눕다,横になる、寝る,Lie Down/Sleep,싱겁다,(味が)薄い,Plain,잡다,つかむ,Hold,생기다,生じる,Happen,읽다,読む,Read,부지런하다,勤勉だ,Diligent,환영하다,歓迎する,Welcome,붙이다,つける,Attach,내다,出す、起こす,Take Out/Issue,잠시 눕고 일어나세요.,少し横になって起きてください。,Please lie down for a moment and get up.,よこになる
높다,高い,High/Tall,춤추다,踊る,Dance,들어가다,入って行く、入る,Enter,밀리다,滞る,Be Delayed/Be Stopped,만족하다,満足する,satisfied,뜨다,(目を)開く,Open (eyes),만나다,会う,Meet,웃다,笑う,Laugh,아니요,いいえ,No,그 건물은 정말 높아요。,その建物は本当に高いです。,That building is really tall.,たかい
맛있다,おいしい,Delicious,끼다,霧が立ち込める、差し込む,Insert/Embark,세수하다,洗顔する,Wash Face,준비하다,準備する,Prepare,반갑습니다,お会いできて嬉しいです,Glad to Meet (formal),썰다,切る,Slice,걸다,かける,Hang/Call,수술하다,手術する,Operate,잡수시다,召し上がる,Have (honorific),케이크가 정말 맛있어요.,ケーキが本当においしいです。,The cake is really delicious.,おいしい
친절하다,親切だ,Kind,길다,長い,Long,내려가다,下がって行く、下がる、降りて行く,Go Down/Descend,반갑다,嬉しい,Glad/Pleased,있다,ある,Be,맛없다,おいしくない、不味い,Not Tasty/Bad Taste,바라다,願う,Wish,모으다,集める,Collect/Gather,펴다,広げる,Spread,그녀는 아주 친절해요.,彼女はとても親切です。,She is very kind.,しんせつだ
울다,泣く,Cry,이해하다,理解する,Understand,찍다,撮る,Take a Picture,신다,履く,Put On Shoes,착하다,やさしい,Kind,졸업하다,卒業する,Graduate,붙다,くっつく,Stick,붙이다,つける,Attach,듣다,聞く,Listen,아이가 울고 있어요.,子供が泣いています。,The child is crying.,なく
