Correct_Korean,Correct_Japanese,Correct_English,Choice1_Korean,Choice1_Japanese,Choice1_English,Choice2_Korean,Choice2_Japanese,Choice2_English,Choice3_Korean,Choice3_Japanese,Choice3_English,Choice4_Korean,Choice4_Japanese,Choice4_English,Choice5_Korean,Choice5_Japanese,Choice5_English,Choice6_Korean,Choice6_Japanese,Choice6_English,Choice7_Korean,Choice7_Japanese,Choice7_English,Choice8_Korean,Choice8_Japanese,Choice8_English,Example_Sentence,Example_Sentence_Meaning,Example_Sentence_Meaning_English,Correct_Hiragana
콩,豆,Bean,언제나,いつも,Always,사물,物事,Thing,연필,鉛筆,Pencil,그때,そのとき、当時,At that time,사원,寺院,temple/monastery,창문,窓,window,무슨,何の~、どんな~,What Kind of~,해,太陽,sun,콩을 삶았어요.,豆を茹でました。,I boiled beans.,まめ
중심,中心,Center,햄버거,ハンバーガー,Hamburger,메모,メモ,Note,맥주,ビール,Beer,자기,自己,Self,우유,牛乳,milk,전자사전,電子辞書,Electronic Dictionary,작은어머니,父の弟の妻、おば,Aunt (Paternal),폭풍,暴風,storm,도시의 중심에 위치해 있어요.,都市の中心に位置しています。,It is located in the center of the city.,ちゅうしん
체육관,体育館,gym,사건,事件,incident,소문,噂,rumor,대체로,だいたい,mostly/generally,만,万,Ten Thousand,남학생,男子学生,Boy Student,지난달,先月,Last Month,중국집,中華料理店,Chinese Restaurant,전,全,All,체육관에서 농구했어요.,体育館でバスケットボールをしました。,I played basketball in the gym.,たいいくかん
한식,韓国料理,Korean Food,피아노,ピアノ,Piano,호텔,ホテル,Hotel,여러가지,いろいろ,Various,금방,すぐ、さっき,Soon/Just Now,독일,ドイツ,Germany,제일,いちばん,Best,재료,材料,Material,수영,水泳,Swimming,한식을 자주 먹어요.,韓国料理をよく食べます。,I often eat Korean food.,かんこくりょうり
모레,あさって,Day After Tomorrow,변호사,弁護士,Lawyer,특히,特に,especially,점심식사,昼食,Lunch Meal,피아노,ピアノ,Piano,그쪽,そちら、その方,That Side/Person,문자,文字,character,밥,ご飯,rice,평양,ピョンヤン,Pyongyang,모레는 일요일이에요.,あさっては日曜日です。,The day after tomorrow is Sunday.,あさって
섬,島,Island,저기,あそこ,Over There,무엇(뭐),何,what,기념일,記念日,anniversary,메시지,メッセージ,Message,교과서,教科書,Textbook,다음달,来月、翌月,Next Month,배,梨、船、お腹,pear,층,~階,Floor,작은 섬에 갔어요.,小さな島に行きました。,I went to a small island.,しま
중국어,中国語,Chinese Language,기름,油、ガソリン,Oil/Fuel,염소,山羊,goat,반려동물,ペット,Pet,왼쪽,左,Left Side,건너편,向こう側,Other Side,닭,にわとり,Chicken,예산,予算,budget,스키,スキー,Ski,중국어를 공부하고 있어요.,中国語を勉強しています。,I am studying Chinese.,ちゅうごくご
가게,お店,shop,그것,それ,It,남편,夫,Husband,청소기,掃除機,Vacuum Cleaner,한국말,韓国語,Korean Language,아기,赤ちゃん,Baby,교통사고,交通事故,Traffic Accident,큰어머니,父の（１番上の）兄の妻、伯母,Aunt,설거지,皿洗い,Dishwashing,가게를 운영해요.,店を経営しています。,I run a shop.,みせ
인간,人間,human,허리,腰,Waist,소,牛,Cow,자주,たびたび,Often,수업,授業,Class,두부찌개,豆腐チゲ,Tofu Stew,그날,その日,That day,주,週,Week,태권도,テコンドー,Taekwondo,인간은 사회적 동물이에요.,人間は社会的動物です。,Humans are social animals.,にんげん
술,酒,Alcohol,명,~名,Counter for People,볶음밥,チャーハン,Fried Rice,어젯밤,昨夜,Last Night,인류,人類,mankind,오렌지,オレンジ,orange,골프,ゴルフ,Golf,배,梨、船、お腹,pear,동생,弟・妹,Sibling (younger),술을 너무 많이 마셨어요.,お酒を飲み過ぎました。,I drank too much alcohol.,さけ
