Correct_Korean,Correct_Japanese,Correct_English,Choice1_Korean,Choice1_Japanese,Choice1_English,Choice2_Korean,Choice2_Japanese,Choice2_English,Choice3_Korean,Choice3_Japanese,Choice3_English,Choice4_Korean,Choice4_Japanese,Choice4_English,Choice5_Korean,Choice5_Japanese,Choice5_English,Choice6_Korean,Choice6_Japanese,Choice6_English,Choice7_Korean,Choice7_Japanese,Choice7_English,Choice8_Korean,Choice8_Japanese,Choice8_English,Example_Sentence,Example_Sentence_Meaning,Example_Sentence_Meaning_English,Correct_Hiragana
특별히,特別に,Specially,베트남,ベトナム,Vietnam,국수,麺,Noodles,냄새,におい,Smell,저거,あれ,That (Thing Over There),심리학,心理学,psychology,목적,目的,Purpose,사이다,サイダー,Soda,고구마,さつまいも,sweet potato,특별히 준비했어요.,特別に準備しました。,I prepared specially.,とくべつに
시내,市内/小川,Downtown/Stream,아무튼,とにかく,anyway,다,全部,All,킬로그램,キログラム,Kilogram,사물,物事,Thing,가구,家具,Furniture,아줌마,おばさん,Aunt (informal),대구,テグ,Daegu,사전,辞書,Dictionary,시내에서 친구를 만났어요.,市内で友達に会いました。,I met a friend downtown.,しない
문학,文学,literature,그래,うん、そう,Yes,공휴일,祝日,Holiday,여러분,皆様,Everyone,점퍼,ジャンパー,Jumper,가게,お店,shop,두부찌개,豆腐チゲ,Tofu Stew,시청,市役所,City Hall,식탁,食卓,Dining Table,문학을 전공하고 있어요.,文学を専攻しています。,I'm majoring in literature.,ぶんがく
한글,ハングル,Hangul,팀,チーム,team,교실,教室,classroom,목욕,沐浴、入浴,Bath,코트,コート,Coat,하루,1日,One Day,그렇게,そのように,In that way,오후,午後,afternoon,빛,光,light,한글은 한국의 문자입니다.,ハングルは韓国の文字です。,Hangul is the Korean script.,はんぐる
냄새,におい,Smell,입구,入口,entrance,기온,気温,Temperature,서양,西洋,The West,연예인,芸能人,Celebrity,연휴,連休,Holiday,공항,空港,Airport,게임,ゲーム、遊び,Game,조금,少し,A Little,꽃의 냄새가 좋아요。,花のにおいが良いです。,The smell of flowers is nice.,におい
따라서,したがって,therefore/accordingly,일요일,日曜日,Sunday,산책,散策,Walk,몸살,疲労からくる病気,Flu-like Illness,댁,お宅,Household (humble),바이올린,バイオリン,Violin,축구,サッカー,Soccer,요즘,この頃,Nowadays,결혼식,結婚式,Wedding,이유가 충분하다. 따라서 인정할 수 있다.,理由は十分だ。したがって認められる。,"There’s enough reason,  so I can accept.",したがって
감,柿,Persimmon,언제나,いつも,Always,낚시,釣り,Fishing,홍차,紅茶,Black Tea,순서,順序,Order,가슴,胸,Chest,차라리,いっそ,rather/preferably,정치,政治,politics,칫솔,歯ブラシ,Toothbrush,가을에는 감이 맛있어요。,秋には柿が美味しいです。,Persimmons are delicious in autumn.,かき
휴일,休日,holiday,바닥,床,floor,쓰기,書くこと,Writing,기온,気温,Temperature,언제나,いつも,Always,축하,祝賀,Congratulations,간호사,看護師,nurse,주말,週末,Weekend,골목,路地、裏通り,Alley,휴일에는 푹 쉬어요.,休日にはゆっくり休みます。,I rest well on holidays.,きゅうじつ
은행원,銀行員,Banker,선물,プレゼント,Gift,고양이,猫,Cat,대한민국,大韓民国,Republic of Korea,오빠,兄（妹から見て）,Older Brother (from younger sister),저희,私ども,We (Humble),물리,物理,Physics,볼펜,ボールペン,Ballpoint Pen,예술,芸術,art,은행원은 친절해요.,銀行員は親切です。,The banker is kind.,ぎんこういん
커피숍,コーヒーショップ,Coffee Shop,기쁨,喜び,joy,수요일,水曜日,Wednesday,아빠,パパ,Dad,점,点,Dot/Point,음료수,飲料水,Beverage,화가,画家,Painter,자연,自然,Nature,하늘,空,Sky,커피숍에서 친구를 만났어요.,コーヒーショップで友達に会いました。,I met a friend at the coffee shop.,こーひーしょっぷ
