Correct_Korean,Correct_Japanese,Correct_English,Choice1_Korean,Choice1_Japanese,Choice1_English,Choice2_Korean,Choice2_Japanese,Choice2_English,Choice3_Korean,Choice3_Japanese,Choice3_English,Choice4_Korean,Choice4_Japanese,Choice4_English,Choice5_Korean,Choice5_Japanese,Choice5_English,Choice6_Korean,Choice6_Japanese,Choice6_English,Choice7_Korean,Choice7_Japanese,Choice7_English,Choice8_Korean,Choice8_Japanese,Choice8_English,Example_Sentence,Example_Sentence_Meaning,Example_Sentence_Meaning_English,Correct_Hiragana
달리다,走る,Run,그리다,(絵を)描く,Draw,결혼하다,結婚する,Marry,불타다,燃える,be on fire,이야기하다,話す,Talk,조용하다,静かだ,Quiet,화장하다,化粧する,Put on Makeup,모시다,お連れする、お仕えする,Escort/Serve (honorific),물어보다,尋ねてみる、聞いてみる、聞く,Ask/Try Asking,그는 매일 아침 달려요.,彼は毎朝走っています。,He runs every morning.,はしる
환영하다,歓迎する,Welcome,처음 뵙겠습니다,初めまして,Nice to meet you,재미있다,面白い,Interesting,살다,生きる,Live,심하다,ひどい,Severe,만지다,触る、触れる,Touch,펴다,広げる,Spread,걸리다,かかる,Take Time/Get Stuck,싸우다,けんかする,Fight,새로운 학생을 환영합니다.,新しい学生を歓迎します。,We welcome the new student.,かんげいする
느리다,(速度が)遅い,Slow,푹,ぐっすり,Deeply,펴다,広げる,Spread,마르다,乾く,Dry,생기다,生じる,Happen,씹다,噛む,Chew,만지다,触る、触れる,Touch,풀다,解く,Untie,착하다,やさしい,Kind,차가 너무 느려요.,車がとても遅いです。,The car is very slow.,おそい
찾아가다,訪ねる,Visit,조용하다,静かだ,Quiet,긴장되다,緊張する,Be Nervous,쓰이다,使われる,Be Used,기억하다,記憶する、憶える,Remember,가지다,持つ,Have,구하다,求める、手に入れる,Seek,넣다,入れる,Put In,밀리다,滞る,Be Delayed/Be Stopped,친구를 찾아갔어요.,友達を訪ねました。,I visited a friend.,たずねる
만나다,会う,Meet,젊다,若い,Young,찾다,探す,Find,놀라다,驚く,Be Surprised,계시다,いらっしゃる,Be (honorific),세수하다,洗顔する,Wash Face,수수하다,地味だ,plain/simple,웃다,笑う,Laugh,긴장되다,緊張する,Be Nervous,친구를 만났어요.,友達に会いました。,I met a friend.,あう
모르겠습니다,知りません、わかりません,Don't Know/Don't Understand,들어오다,入って来る、入る,Come In,밀리다,滞る,Be Delayed/Be Stopped,신청하다,申請する,Apply,오래간만입니다,お久しぶりです,Long Time No See (formal),수수하다,地味だ,plain/simple,안전하다,安全だ,Safe,내다,出す、起こす,Take Out/Issue,내려오다,下がって来る、降りて来る,Come Down/Descend,그 질문은 모르겠습니다.,その質問は知りません。,I don't know that question.,わかりません
느낌,感じ、気持ち,Feeling/Mood,감사드립니다,ありがとうございます,Thank you very much,알리다,知らせる,Inform,그치다,終わる、止む,End,낮다,低い,Low,찾아오다,訪ねて来る,Visit,얘기하다,話す,Talk,계산하다,計算する,Calculate,맞습니다,そうです,That's Right (formal),좋은 느낌이에요.,良い感じです。,I have a good feeling.,かんじ、きもち
볶다,炒める,Fry,못하다,できない,Can't/Unable to,밀리다,滞る,Be Delayed/Be Stopped,싶다,~したい,Want To,안녕하십니까,こんにちは,Hello (formal),빨갛다,赤い,Red,웃다,笑う,Laugh,쉬다,休む,Rest,체험하다,体験する,experience (hands-on),채소를 볶았어요.,野菜を炒めました。,I fried vegetables.,いためる
맵다,辛い,Spicy,씹다,噛む,Chew,빼다,のける、引く、抜く,Take Out,계산하다,計算する,Calculate,즐겁다,楽しい,Fun,갖다,持つ,Have/Carry,멋있다,かっこいい,cool,하얗다,白い,White,들어오다,入って来る、入る,Come In,음식이 너무 매워요.,食べ物がとても辛いです。,The food is too spicy.,からい
건강하다,健康だ,Healthy,궁금하다,気になる,curious,부탁하다,依頼する,Request,잘생기다,ハンサムだ,Handsome,주차하다,駐車する,Park,비슷하다,似ている,Similar,기다리다,待つ,Wait,느끼다,感じる,Feel,부치다,送る、焼く,Send/Bake,그는 매우 건강해 보여요。,彼はとても健康そうに見えます。,He looks very healthy.,けんこうだ
