Correct_Korean,Correct_Japanese,Correct_English,Choice1_Korean,Choice1_Japanese,Choice1_English,Choice2_Korean,Choice2_Japanese,Choice2_English,Choice3_Korean,Choice3_Japanese,Choice3_English,Choice4_Korean,Choice4_Japanese,Choice4_English,Choice5_Korean,Choice5_Japanese,Choice5_English,Choice6_Korean,Choice6_Japanese,Choice6_English,Choice7_Korean,Choice7_Japanese,Choice7_English,Choice8_Korean,Choice8_Japanese,Choice8_English,Example_Sentence,Example_Sentence_Meaning,Example_Sentence_Meaning_English,Correct_Hiragana
운전하다,運転する,Drive,어울리다,似合う,Match,꺼내다,取り出す,Take Out,어둡다,暗い,Dark,불편하다,不便だ,Uncomfortable,체험하다,体験する,experience (hands-on),수수하다,地味だ,plain/simple,싫다,嫌いだ,Dislike,가져가다,持って行く,Take,그는 자동차를 운전해요.,彼は車を運転します。,He drives a car.,うんてんする
까맣다,黒い,Black,독서하다,読書する,Read,맞습니다,そうです,That's Right (formal),입원하다,入院する,Be Hospitalized,취직하다,就職する,Get a Job,크다,大きい,Big,만지다,触る、触れる,Touch,들어오다,入って来る、入る,Come In,썰다,切る,Slice,밤하늘이 까맣게 되었어요。,夜空が真っ黒になりました。,The night sky has become pitch black.,くろい
늦다,(時間的に)遅い、遅れる,Late,움직이다,動く,Move,처음 뵙겠습니다,初めまして,Nice to meet you,놀다,遊ぶ,Play,차다,蹴る,Kick,틀리다,間違う,Be Wrong,외출하다,外出する,Go Out,어떻다,どうだ,Be Like,벌다,(お金を)稼ぐ、儲ける,Earn,오늘은 늦었어요.,今日は遅れました。,I am late today.,おそい
바라다,願う,Wish,마시다,飲む,Drink,씻다,洗う,Wash,글쎄요,そうですね、どうでしょうね,Well...,즐겁다,楽しい,Fun,체험하다,体験する,experience (hands-on),쉽다,簡単だ,Easy,따뜻하다,暖かい,Warm,설명하다,説明する,Explain,저는 성공을 바라요.,私は成功を願っています。,I wish for success.,ねがう
출발하다,出発する,Depart,긴장되다,緊張する,Be Nervous,느낌,感じ、気持ち,Feeling/Mood,얇다,薄い,Thin,오르다,上る,Climb,닫히다,閉まる,Be Closed,싫어하다,嫌う,Hate,소개하다,紹介する,Introduce,올라가다,上る,Go Up,기차가 출발했어요.,列車が出発しました。,The train has departed.,しゅっぱつする
크다,大きい,Big,고르다,選ぶ,Choose,맛있다,おいしい,Delicious,편하다,楽だ,Comfortable,쉽다,簡単だ,Easy,싱겁다,(味が)薄い,Plain,깨끗하다,清潔だ、きれいだ,Clean,없다,ない,Not Exist,궁금하다,気になる,curious,집이 커요.,家が大きいです。,The house is big.,おおきい
일어나다,起きる,Wake Up,잃다,失う,Lose,늦다,(時間的に)遅い、遅れる,Late,생각하다,考える,Think,가르치다,教える,Teach,공부하다,勉強する,Study,넣다,入れる,Put In,겁나다,怖がる,be scared,따라오다,ついて来る,Follow Coming,아침에 일어났어요.,朝に起きました。,I woke up in the morning.,おきる
가깝다,近い,Close,풀다,解く,Untie,밀리다,滞る,Be Delayed/Be Stopped,빼다,のける、引く、抜く,Take Out,흐리다,曇る,Cloudy,그치다,終わる、止む,End,줄다,減る,Decrease,잃어버리다,失くしてしまう,Lose Completely,뛰다,駆ける、走る,Run,우리 집은 학교와 가깝아요。,私の家は学校に近いです。,My house is close to the school.,ちかい
깨지다,割れる、壊れる,Break/Broken,선호하다,好む,prefer,싫다,嫌いだ,Dislike,그렇다,そうだ,That's right,움직이다,動く,Move,신다,履く,Put On Shoes,나쁘다,悪い,Bad,따르다,従う,Follow,중요하다,重要だ,Important,그릇이 깨졌어요。,器が割れました。,The bowl broke.,われる
찍다,撮る,Take a Picture,사다,買う,Buy,청소하다,掃除する,Clean,외출하다,外出する,Go Out,배고프다,空腹だ,Hungry,태어나다,生まれる,Be Born,멋있다,かっこいい,cool,늘다,増える、増す,Increase,얘기하다,話す,Talk,사진을 찍었어요.,写真を撮りました。,I took a picture.,とる
