Correct_Korean,Correct_Japanese,Correct_English,Choice1_Korean,Choice1_Japanese,Choice1_English,Choice2_Korean,Choice2_Japanese,Choice2_English,Choice3_Korean,Choice3_Japanese,Choice3_English,Choice4_Korean,Choice4_Japanese,Choice4_English,Choice5_Korean,Choice5_Japanese,Choice5_English,Choice6_Korean,Choice6_Japanese,Choice6_English,Choice7_Korean,Choice7_Japanese,Choice7_English,Choice8_Korean,Choice8_Japanese,Choice8_English,Example_Sentence,Example_Sentence_Meaning,Example_Sentence_Meaning_English,Correct_Hiragana
감동하다,感動する,Be Moved,촬영하다,撮影する,Film,부탁하다,依頼する,Request,가져가다,持って行く,Take,결정하다,決定する,Decide,뵙다,お目にかかる,Meet (honorific),찍다,撮る,Take a Picture,신청하다,申請する,Apply,피우다,咲かせる,Bloom,그의 이야기에 감동했어요。,彼の話に感動しました。,I was moved by his story.,かんどうする
미안합니다,すみません,I'm Sorry (formal),실례하다,失礼する,Excuse Oneself,독서하다,読書する,Read,닮다,似る,Resemble,신다,履く,Put On Shoes,계시다,いらっしゃる,Be (honorific),주다,あげる,Give,어울리다,似合う,Match,요리하다,料理する,cook,미안합니다,すみません,I'm sorry.,すみません
가지다,持つ,Have,붓다,注ぐ,Pour,부럽다,うらやましい,envious,도착하다,到着する、着く,Arrive,추다,踊る,Dance,듣다,聞く,Listen,정하다,定める,Decide,두다,置く,Put,다치다,けがする、触れる,Hurt/Injure,나는 좋은 생각을 가지고 있어요。,私は良い考えを持っています。,I have a good idea.,もつ
복잡하다,複雑だ、混雑している,Complex/Crowded,없다,ない,Not Exist,어울리다,似合う,Match,같다,同じだ,Same,지다,負ける,Lose,아프다,痛い,Hurt,웃기다,笑わせる,Make Someone Laugh,낮다,低い,Low,풀다,解く,Untie,이 도시는 복잡해요.,この街は混雑しています。,This city is crowded.,ふくざつだ
깨뜨리다,壊す,break (an object),반갑습니다,お会いできて嬉しいです,Glad to Meet (formal),설득하다,説得する,persuade,출발하다,出発する,Depart,길다,長い,Long,아름답다,美しい,Beautiful,뜨겁다,熱い,Hot,촬영하다,撮影する,Film,지다,負ける,Lose,꽃병을 깨뜨렸어요.,花瓶を壊しました。,I broke a vase.,こわす
웃다,笑う,Laugh,보내다,送る、過ごす,Send/Spend,화장하다,化粧する,Put on Makeup,모시다,お連れする、お仕えする,Escort/Serve (honorific),드리다,差し上げる,Give (polite),걱정하다,心配する,Worry,넓다,広い,Wide,요리하다,料理する,cook,고마웠습니다,ありがとうございました,Thank you (formal past),친구들과 함께 웃었어요.,友達と一緒に笑いました。,I laughed with my friends.,わらう
수술하다,手術する,Operate,알았습니다,わかりました,Understood,나다,出る,Appear/Leave,지나다,過ぎる,Pass,들어가다,入って行く、入る,Enter,다니다,通う,Attend,밀리다,滞る,Be Delayed/Be Stopped,넘다,越える、過ぎる,Exceed/Surpass,좋다,良い,Good,그는 어제 수술을 받았어요.,彼は昨日手術を受けました。,He underwent surgery yesterday.,しゅじゅつする
그만하다,やめる,stop/quit,고르다,選ぶ,Choose,도와주다,助けてあげる、助ける,Help,즐겁다,楽しい,Fun,낮다,低い,Low,건너가다,渡って行く,Cross Over,자다,寝る,Sleep,사인하다,サインする,Sign,어떻다,どうだ,Be Like,너무 힘들어서 그만했어요.,あまりに大変でやめました。,"It was too hard,  so I stopped.",やめる
돌아오다,帰って来る,Return,보다,見る、より,See,싫다,嫌いだ,Dislike,알았습니다,わかりました,Understood,좋다,良い,Good,기다리다,待つ,Wait,인터뷰하다,インタビューする,Interview,보이다,見える、見せる,See/Show,적다,少ない,Few/Write Down,친구가 돌아왔어요.,友達が帰ってきました。,A friend returned.,かえってくる
가져가다,持って行く,Take,펴다,広げる,Spread,부탁하다,依頼する,Request,닫히다,閉まる,Be Closed,드시다,召し上がる,Eat/Drink (honorific),졸업하다,卒業する,Graduate,맛없다,おいしくない、不味い,Not Tasty/Bad Taste,고르다,選ぶ,Choose,태어나다,生まれる,Be Born,이 책을 집으로 가져가세요。,この本を家に持って行ってください。,Please take this book home.,もっていく
