Correct_Korean,Correct_Japanese,Correct_English,Choice1_Korean,Choice1_Japanese,Choice1_English,Choice2_Korean,Choice2_Japanese,Choice2_English,Choice3_Korean,Choice3_Japanese,Choice3_English,Choice4_Korean,Choice4_Japanese,Choice4_English,Choice5_Korean,Choice5_Japanese,Choice5_English,Choice6_Korean,Choice6_Japanese,Choice6_English,Choice7_Korean,Choice7_Japanese,Choice7_English,Choice8_Korean,Choice8_Japanese,Choice8_English,Example_Sentence,Example_Sentence_Meaning,Example_Sentence_Meaning_English,Correct_Hiragana
벚꽃,桜,Cherry Blossom,적갈색,赤褐色,reddish brown,남학생,男子学生,Boy Student,부엌,台所,Kitchen,아시아,アジア,Asia,형제,兄弟,Brothers,한복,韓服,Hanbok,가족,家族,Family,생명,生命,life,벚꽃이 예쁘게 피었어요.,桜がきれいに咲きました。,The cherry blossoms bloomed beautifully.,さくら
형제,兄弟,Brothers,새,新しい/鳥,New/Bird,충전기,充電器,charger,그렇게,そのように,In that way,과일,果物,Fruit,위,上,Above,태권도,テコンドー,Taekwondo,직업,職業,Occupation,밑,下、底,Bottom/Under,형제가 많아요.,兄弟が多いです。,I have many brothers.,きょうだい
케이크,ケーキ,Cake,회사,会社,Company,절,寺,temple,형제,兄弟,Brothers,김밥,のり巻き,Kimbap,봄,春,Spring,지난주,先週,Last Week,물건,物、物品,Thing/Item,정도,程度,Approximation,케이크를 먹었어요.,ケーキを食べました。,I ate a cake.,けーき
씨,~氏,Mr./Ms.,진실,真実,truth,결혼,結婚,marriage,사장,社長,President,절,寺,temple,그중,その中,Among,기자,記者,Reporter,또는,または,or,화산,火山,volcano,김 씨를 만났어요.,キム氏に会いました。,I met Mr. Kim.,し
파티,パーティ,party,나,僕、わたし、~や,I/We/Somebody,예술,芸術,art,액세서리,アクセサリー,Accessory,미술,美術,Art,시청,市役所,City Hall,영향,影響,influence,음반,音盤,Record,무슨,何の~、どんな~,What Kind of~,파티에 초대받았어요.,パーティに招待されました。,I was invited to a party.,ぱーてぃ
대답,答え,Answer,지갑,財布,wallet,다,全部,All,지폐,紙幣,bill (money),무역,貿易,Trade,지난주,先週,Last Week,함께,一緒に,Together,서랍,引き出し,drawer,마라톤,マラソン,marathon,그의 대답은 만족스러웠어요.,彼の答えは満足でした。,His answer was satisfactory.,こたえ
고등학생,高校生,High School Student,값,値段、価値,Price,청바지,ジーンズ,Jeans,배달,配達、出前,Delivery/Takeout,거기,そこ,There,물,水,water,침대,ベッド,Bed,송이,(花などの)房,Bunch,하루,1日,One Day,고등학생들은 열심히 공부해요。,高校生は一生懸命勉強します。,High school students study hard.,こうこうせい
자칫하면,ちょっとしたことで,nearly/almost,결코,決して,never/by no means,샴푸,シャンプー,Shampoo,사건,事件,incident,교회,教会,church,아저씨,おじさん,Uncle,정거장,停車場,Station,적,的,Enemy/Target,우유,牛乳,milk,자칫하면 사고가 날 뻔했어요.,ちょっとしたことで事故になりそうでした。,I almost got into an accident.,ちょっとしたことで
정의,正義,justice,자정,真夜中,midnight,춤,踊り,dance,교수,教授,Professor,도시,都市,city,입구,入口,entrance,하늘색,空色,sky blue,가장,最も、一番,Most,약,約~、薬,Approximately/Medicine,정의를 실현하고 싶어요.,正義を実現したいです。,I want to achieve justice.,せいぎ
날씨,天気,Weather,일본어,日本語,Japanese Language,도넛,ドーナツ,doughnut,곧,すぐ,Soon,횡단보도,横断歩道,Crosswalk,다른,別の~、違う~,Different ~,선박,船,boat,여자,女性,Woman,수영복,水着,Swimsuit,오늘 날씨가 좋아요。,今日の天気は良いです。,The weather is nice today.,てんき
