Correct_Korean,Correct_Japanese,Correct_English,Choice1_Korean,Choice1_Japanese,Choice1_English,Choice2_Korean,Choice2_Japanese,Choice2_English,Choice3_Korean,Choice3_Japanese,Choice3_English,Choice4_Korean,Choice4_Japanese,Choice4_English,Choice5_Korean,Choice5_Japanese,Choice5_English,Choice6_Korean,Choice6_Japanese,Choice6_English,Choice7_Korean,Choice7_Japanese,Choice7_English,Choice8_Korean,Choice8_Japanese,Choice8_English,Example_Sentence,Example_Sentence_Meaning,Example_Sentence_Meaning_English,Correct_Hiragana
흰색,白色,White,월세,月払いの家賃,Rent,지난번,前回,Last Time,빨래,洗濯,Laundry,국내,国内,Domestic,김포공항,金浦空港,Incheon Airport,경찰서,警察署,Police Station,어둠,闇,darkness,특별히,特別に,Specially,흰색 옷을 입었어요.,白い服を着ました。,I wore white clothes.,しろいろ
한글날,ハングルナル (ハングルの日),Hangul Day,요르단,ヨルダン,Jordan,어른,大人,Adult,와이셔츠,ワイシャツ,Shirt,공짜,無料,Free (no charge),형님,お兄様,Older Brother (Honorific),필름,フィルム,Film,투어,ツアー,tour,아버지,父,Father,한글날은 세종대왕을 기리는 날이에요.,ハングルの日は世宗大王を称える日です。,Hangul Day honors King Sejong.,はんぐるなる
쇼핑,ショッピング,Shopping,대회,大会,Competition,나라,国,Country,학교,学校,School,샴푸,シャンプー,Shampoo,가족,家族,Family,유치원,幼稚園,kindergarten,햇빛,日光,Sunlight,안,~しない、中,Inside/Not,주말에 쇼핑을 했어요.,週末にショッピングをしました。,I went shopping on the weekend.,しょっぴんぐ
부산,釜山,Busan,나라,国,Country,마침,ちょうど,just in time,장미,バラ,Rose,달,~ヶ月、月,Month,책방,本屋,Bookstore,삼계탕,サムゲタン,Ginseng Chicken Soup,그래프,グラフ,graph,장마,梅雨,Rainy Season,부산은 한국에서 큰 도시 중 하나예요.,釜山は韓国で大きな都市の一つです。,Busan is one of the big cities in Korea.,ぷさん
사랑,愛,love,사물,物事,Thing,무엇(뭐),何,what,비빔밥,ビビンバ,Bibimbap,월세,月払いの家賃,Rent,무역,貿易,Trade,이번,今回,This Time,설날,ソルラル (旧正月),Lunar New Year,우유,牛乳,milk,사랑은 소중해요.,愛は大切です。,Love is precious.,あい
닭,にわとり,Chicken,카레,カレー,Curry,오히려,むしろ,rather (contrary),박수,拍手,Applause,어머니,母,mother,방법,方法,Method/Way,작년,昨年,Last Year,목소리,声,Voice,냄비,鍋,Pot,닭을 키우고 있어요.,鶏を飼っています。,I am raising chickens.,にわとり
오늘,きょう,Today,얼마동안,どのくらいの間,for how long,수원,スウォン,Suwon,가방,鞄,Bag,커피숍,コーヒーショップ,Coffee Shop,물건,物、物品,Thing/Item,커피,コーヒー,Coffee,국적,国籍,Nationality,한국사람,韓国人,Korean Person,오늘은 날씨가 좋아요.,今日は天気がいいです。,The weather is nice today.,きょう
인기스타,人気スター,Popular Star,게임,ゲーム、遊び,Game,시청,市役所,City Hall,양,量,Amount,학교,学校,School,남자,男,Man,인도,インド,India,경주,慶州,Kyongju,고양이,猫,Cat,그는 인기스타예요.,彼は人気スターです。,He is a popular star.,にんきすたー
한,1つの~,One,마리,~匹、~頭,Counter for Animals/People,덕분,おかげ,Thanks to,김,海苔,Nori,실례,失礼,Excuse,등,背、など,Back/Etc.,그런,そんな,Like that,시내,市内/小川,Downtown/Stream,소,牛,Cow,한 번 더 시도해 보세요.,もう一度挑戦してください。,Try once more.,ひとつの
호주,オーストラリア,Australia,지도,地図,map,소화제,消化剤,Digestive Medicine,케이크,ケーキ,Cake,환율,換率,exchange rate,손,手,hand,종로,鍾路,Jongno,달걀,卵,Egg,병원,病院,hospital,호주로 여행을 갔어요.,オーストラリアに旅行に行きました。,I traveled to Australia.,おーすとらりあ
