Correct_Korean,Correct_Japanese,Correct_English,Choice1_Korean,Choice1_Japanese,Choice1_English,Choice2_Korean,Choice2_Japanese,Choice2_English,Choice3_Korean,Choice3_Japanese,Choice3_English,Choice4_Korean,Choice4_Japanese,Choice4_English,Choice5_Korean,Choice5_Japanese,Choice5_English,Choice6_Korean,Choice6_Japanese,Choice6_English,Choice7_Korean,Choice7_Japanese,Choice7_English,Choice8_Korean,Choice8_Japanese,Choice8_English,Example_Sentence,Example_Sentence_Meaning,Example_Sentence_Meaning_English,Correct_Hiragana
콧노래,鼻歌,Humming,자두,すもも,plum,두부찌개,豆腐チゲ,Tofu Stew,그때,そのとき、当時,At that time,월세,月払いの家賃,Rent,시험,試験,Exam,콧물,鼻水,Nasal Discharge,그러면,それなら,then/in that case,건강,健康,health,콧노래를 불렀어요.,鼻歌を歌いました。,I hummed.,はなうた
자,さあ,Now,축하,祝賀,Congratulations,미국,米国、アメリカ,USA/United States,마라톤,マラソン,marathon,가스,瓦斯,gas,백화점,百貨店、デパート,Department Store,어느,どの,which/some,서리,霜,frost,체육관,体育館,gym,"자,  시작합시다.",さあ、始めましょう。,"Now,  let's begin.",さあ
선박,船,boat,출구,出口,exit,부산,プサン,Busan,편,編,Volume,달,~ヶ月、月,Month,소식,消息,news,팁,チップ,tip,경주,慶州,Kyongju,박수,拍手,Applause,선박에 탔어요.,船に乗りました。,I got on a boat.,ふね
외숙모,おば（母方）,Aunt (maternal),열,熱、10,Ten/Heat,디자인,デザイン,Design,광주,クァンジュ,Gwangju,감동,感動,Emotion,문제,問題,Problem,손님,お客さま,Guest,각,各、おのおの,Each,시간표,時間表,Schedule,외숙모가 친절해요.,おばが親切です。,My aunt is kind.,おば
개,~個、犬,Dog/Counter for items,영화표,映画のチケット,Movie Ticket,부인,夫人,Wife,그냥,ただ、そのまま,Just,노래방,カラオケ店,Karaoke Room,오직,ただ,only/exclusively,동안,~の間,During,삼촌,おじ（父方）,Uncle,대한민국,大韓民国,Republic of Korea,강아지 한 마리가 있어요.,子犬が一匹います。,There is one puppy.,いっぴき
사전,辞書,Dictionary,밤,夜,Night,계절,季節,Season,빵,パン,bread,학기,学期,Semester,아무튼,とにかく,anyway,유럽,ヨーロッパ,Europe,찌개,チゲ,Stew,아저씨,おじさん,Uncle,사전을 찾아보세요.,辞書を引いてください。,Look it up in the dictionary.,じしょ
이상,以上,More Than,몇 개,いくつ,how many pieces,꽃,花,flower,학년,学年,Grade,과학,科学,science,급,級,Level/Grade,낚시,釣り,Fishing,아버님,お父様,Father (honorific),바닥,床,floor,10명 이상이 왔어요.,10人以上が来ました。,More than 10 people came.,いじょう
작은,小さい,small,하숙집,下宿先,Lodging House,또는,または,or,커피숍,コーヒーショップ,Coffee Shop,다음달,来月、翌月,Next Month,들,~たち、~ども,Plural Suffix,휴가,休暇,Vacation,매일,毎日,Every Day,몽골,モンゴル,Mongolia,작은 방이라도 좋아요.,小さな部屋でも構いません。,I don’t mind a small room.,ちいさい
컵,カップ,Cup,성함,お名前,Name (honorific),다음해,翌年,Next Year,아마,多分,Probably,자리,座席,Seat,자,定規,ruler,시민,市民,Citizen,거북이,亀,Turtle,수집,収集,collecting,컵에 물을 따랐어요.,カップに水を注ぎました。,I poured water into a cup.,かっぷ
치약,歯磨き粉,Toothpaste,빛,光,light,키,背,Height,옳은,正しい,correct/right,삼일절,サミルチョル (3.1節),March 1st Movement Day,연휴,連休,Holiday,길,道,Street/Road,흰색,白色,White,모래,砂,sand,치약을 샀어요.,歯磨き粉を買いました。,I bought toothpaste.,はみがきこ
