Correct_Korean,Correct_Japanese,Correct_English,Choice1_Korean,Choice1_Japanese,Choice1_English,Choice2_Korean,Choice2_Japanese,Choice2_English,Choice3_Korean,Choice3_Japanese,Choice3_English,Choice4_Korean,Choice4_Japanese,Choice4_English,Choice5_Korean,Choice5_Japanese,Choice5_English,Choice6_Korean,Choice6_Japanese,Choice6_English,Choice7_Korean,Choice7_Japanese,Choice7_English,Choice8_Korean,Choice8_Japanese,Choice8_English,Example_Sentence,Example_Sentence_Meaning,Example_Sentence_Meaning_English,Correct_Hiragana
집,家,House,곡선,曲線,curve,식탁,食卓,Dining Table,된장,味噌,Miso,산책로,散策路,walking path,웬일,何事,What's the Matter,간신히,かろうじて,barely,잠시,ちょっと,A While,인상,印象,Impression,집에 돌아왔어요.,家に帰ってきました。,I came back home.,いえ
출발,出発,Departure,여권,パスポート,passport,아무,何もない,Nothing,운동,運動,Exercise,깜짝,はっと,Surprise,이모,おば（母方）,Aunt (maternal),배탈,腹痛,Stomachache,주,週,Week,카메라,カメラ,Camera,출발 준비를 했어요.,出発の準備をしました。,I prepared for departure.,しゅっぱつ
간호사,看護師,nurse,원피스,ワンピース,Dress,패션,ファッション,Fashion,에스카레이터,エスカレーター,escalator,지하철역,地下鉄の駅,Subway Station,역사,歴史,History,구청,区役所,ward office,졸업,卒業,graduation,왜,なぜ,why,그녀는 훌륭한 간호사예요。,彼女は優れた看護士です。,She is an excellent nurse.,かんごし
잎,葉,leaf,학,鶴,Crane,외국인,外国人,Foreigner,회사,会社,Company,서쪽,西,West,무료,無料,Free,운동화,運動靴,Sneakers,놀이공원,遊園地,amusement park,월세,月払いの家賃,Rent,잎이 떨어지고 있어요.,葉が落ちています。,Leaves are falling.,は
조카,甥,Nephew,여기,ここ,Here,말,言葉、話,Word/Speech,치마,スカート,skirt,신,新,New,교수,教授,Professor,벌써,すでに、もう,Already,장소,場所,Place,소고기,牛肉,Beef,조카가 귀여워요.,甥がかわいいです。,My nephew is cute.,おい
원,ウォン,Korean Won,살,歳,Age,전기,電気,electricity,이집트,エジプト,Egypt,고모부,おばの夫、おじ,Uncle (aunt's husband),전통,伝統,tradition,음악가,音楽家,Musician,좀더,もう少し,A Bit More,수학,数学,Mathematics,커피 값이 삼천 원이에요.,コーヒー代が3000ウォンです。,The coffee costs 3000 won.,うぉん
제과점,製菓店,confectionery store,그림,絵,picture,정보,情報,Information,꽃집,花屋,Flower Shop,장례식,葬礼,funeral,베이컨,ベーコン,Bacon,차라리,いっそ,rather/preferably,저거,あれ,That (Thing Over There),한국사람,韓国人,Korean Person,제과점에서 케이크를 주문했어요.,製菓店でケーキを注文しました。,I ordered a cake at the confectionery store.,せいかてん
시작,始まり,Start,고속버스,高速バス,Express Bus,정문,正門,Main Gate,대학,大学,University,스웨터,セーター,Sweater,와이셔츠,ワイシャツ,Shirt,전통,伝統,tradition,경험,経験,Experience,옆,横,Next To,모든 시작은 어렵다.,すべての始まりは難しいです。,Every beginning is difficult.,はじまり
그냥,ただ、そのまま,Just,게다가,そのうえ,besides/furthermore,배달,配達、出前,Delivery/Takeout,열쇠,鍵,Key,희망,希望,hope,치마,スカート,skirt,정의,正義,justice,등,背、など,Back/Etc.,지하도,地下道,Underpass,그냥 집에 있을게요。,ただ家にいます。,I will just stay at home.,ただ
달러,ドル,Dollar,교과서,教科書,Textbook,이혼,離婚,divorce,살구색,肌色/apricot color,peach/apricot,무역,貿易,Trade,인상,印象,Impression,교육,教育,education,종로,鍾路,Jongno,경찰서,警察署,Police Station,그는 미국 달러를 가지고 있어요.,彼はアメリカドルを持っています。,He has US dollars.,どる
