Correct_Korean,Correct_Japanese,Correct_English,Choice1_Korean,Choice1_Japanese,Choice1_English,Choice2_Korean,Choice2_Japanese,Choice2_English,Choice3_Korean,Choice3_Japanese,Choice3_English,Choice4_Korean,Choice4_Japanese,Choice4_English,Choice5_Korean,Choice5_Japanese,Choice5_English,Choice6_Korean,Choice6_Japanese,Choice6_English,Choice7_Korean,Choice7_Japanese,Choice7_English,Choice8_Korean,Choice8_Japanese,Choice8_English,Example_Sentence,Example_Sentence_Meaning,Example_Sentence_Meaning_English,Correct_Hiragana
아니오,いいえ,No,입원하다,入院する,Be Hospitalized,어떻습니까?,どうですか,How Is It?,수수하다,地味だ,plain/simple,노력하다,努力する,Make an Effort,붙이다,つける,Attach,감사하다,感謝する,Be Grateful,가르치다,教える,Teach,담그다,漬ける,Soak,"아니오,  저는 괜찮아요.",いいえ、大丈夫です。,"No,  I am fine.",いいえ
나타나다,現れる,Appear,통하다,通じる,Communicate,가져오다,持って来る,Bring,오르다,上る,Climb,멋있다,かっこいい,cool,울리다,鳴らす,Make Someone Cry,궁금하다,気になる,curious,알다,知る,Know,안내하다,案内する,Guide,문앞에 친구가 나타났어요。,ドアの前に友達が現れました。,A friend appeared at the door.,あらわれる
태어나다,生まれる,Be Born,가져오다,持って来る,Bring,끄다,消す、止める,Turn Off,아니다,~でない,Not,그치다,終わる、止む,End,주차하다,駐車する,Park,어둡다,暗い,Dark,눈치채다,気付く,notice,늘다,増える、増す,Increase,그는 1990년에 태어났어요.,彼は1990年に生まれました。,He was born in 1990.,うまれる
부럽다,うらやましい,envious,어둡다,暗い,Dark,맛없다,おいしくない、不味い,Not Tasty/Bad Taste,괜찮다,大丈夫だ、構わない,It's Okay,울리다,鳴らす,Make Someone Cry,가져오다,持って来る,Bring,앉다,座る,Sit,깨지다,割れる、壊れる,Break/Broken,계획하다,計画する,plan,그의 성공이 부러워요.,彼の成功がうらやましいです。,I envy his success.,うらやましい
틀리다,間違う,Be Wrong,생각되다,考えられる,Be Considered,취소하다,取り消す,Cancel,알다,知る,Know,어리다,幼い,Young,싫어하다,嫌う,Hate,구하다,求める、手に入れる,Seek,촬영하다,撮影する,Film,춥다,寒い,Cold,문제가 틀렸어요.,問題が間違っていました。,The problem was wrong.,まちがう
안녕하십니까,こんにちは,Hello (formal),팔다,売る,Sell,겁나다,怖がる,be scared,계시다,いらっしゃる,Be (honorific),다녀오다,行って来る,Go and Come Back,피우다,咲かせる,Bloom,피곤하다,疲れる,Tired,가지다,持つ,Have,따뜻하다,暖かい,Warm,안녕하십니까?,こんにちは。,Good day.,こんにちは
가열하다,加熱する,heat up,돌아가다,帰って行く,Go Back,구하다,求める、手に入れる,Seek,잊어버리다,忘れてしまう,Completely Forget,알다,知る,Know,잊다,忘れる,Forget,축하합니다,おめでとうございます,Congratulations,모으다,集める,Collect/Gather,시작하다,始める,Start,액체를 가열했어요.,液体を加熱しました。,I heated the liquid.,かねつする
뛰다,駆ける、走る,Run,주다,あげる,Give,좁다,狭い,Narrow,올라오다,上って来る,Come Up,일하다,働く,Work,고치다,直す,Fix,반갑다,嬉しい,Glad/Pleased,쌓이다,積もる,Accumulate,수수하다,地味だ,plain/simple,그는 공원에서 뛰고 있어요.,彼は公園で走っています。,He is running in the park.,はしる
생각하다,考える,Think,조심하다,注意する,Be Careful,어울리다,似合う,Match,사인하다,サインする,Sign,깨지다,割れる、壊れる,Break/Broken,어리다,幼い,Young,춥다,寒い,Cold,올라오다,上って来る,Come Up,결혼하다,結婚する,Marry,답을 생각했어요.,答えを考えました。,I thought about the answer.,かんがえる
결혼하다,結婚する,Marry,서다,立つ,Stand,설명하다,説明する,Explain,맛있다,おいしい,Delicious,위하다,~のためにする,Do for,빨갛다,赤い,Red,긴장되다,緊張する,Be Nervous,닦다,磨く、拭く,Wash/Clean,준비하다,準備する,Prepare,그는 내년에 결혼할 거예요。,彼は来年結婚します。,He will marry next year.,けっこんする
